2021.4.20 16:34:56:705   leftController:(-0.14, 1.08, 0.36)  rightController:(0.02, 1.06, 0.35)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.09, 0.12, 0.04)  headset:(-0.01, 1.54, 0.14)  leftControllerVel:(-0.10, -0.01, 0.03)  rightControllerVel:(-0.08, 0.01, 0.03)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.20 16:34:56:727   leftController:(-0.14, 1.08, 0.36)  rightController:(0.01, 1.06, 0.35)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.09, 0.12, 0.04)  headset:(-0.01, 1.54, 0.14)  leftControllerVel:(-0.10, -0.01, 0.03)  rightControllerVel:(-0.08, 0.01, 0.03)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:56:912   leftController:(-0.16, 1.08, 0.36)  rightController:(0.00, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.03, 1.54, 0.15)  leftControllerVel:(-0.09, -0.01, 0.03)  rightControllerVel:(-0.11, -0.03, 0.04)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:56:926   leftController:(-0.16, 1.08, 0.36)  rightController:(-0.01, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.04, 1.54, 0.15)  leftControllerVel:(-0.09, -0.01, 0.03)  rightControllerVel:(-0.09, -0.03, 0.04)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:56:937   leftController:(-0.16, 1.08, 0.36)  rightController:(-0.01, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.04, 1.54, 0.15)  leftControllerVel:(-0.08, -0.01, 0.03)  rightControllerVel:(-0.08, -0.02, 0.03)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:56:953   leftController:(-0.16, 1.08, 0.36)  rightController:(-0.01, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.04, 1.54, 0.15)  leftControllerVel:(-0.08, -0.01, 0.03)  rightControllerVel:(-0.08, -0.02, 0.03)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:56:960   leftController:(-0.16, 1.08, 0.36)  rightController:(-0.01, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.04, 1.54, 0.15)  leftControllerVel:(-0.08, -0.01, 0.03)  rightControllerVel:(-0.08, -0.02, 0.03)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:56:965   leftController:(-0.16, 1.08, 0.36)  rightController:(-0.01, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.04, 1.54, 0.15)  leftControllerVel:(-0.08, -0.01, 0.03)  rightControllerVel:(-0.08, -0.01, 0.03)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.20 16:34:56:971   leftController:(-0.16, 1.08, 0.36)  rightController:(-0.01, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.04, 1.54, 0.15)  leftControllerVel:(-0.08, -0.01, 0.03)  rightControllerVel:(-0.08, -0.01, 0.02)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:56:977   leftController:(-0.16, 1.08, 0.36)  rightController:(-0.01, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.04, 1.54, 0.15)  leftControllerVel:(-0.07, -0.01, 0.03)  rightControllerVel:(-0.08, -0.01, 0.02)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:56:988   leftController:(-0.16, 1.08, 0.36)  rightController:(-0.01, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.04, 1.54, 0.15)  leftControllerVel:(-0.07, -0.01, 0.03)  rightControllerVel:(-0.08, 0.00, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.20 16:34:56:999   leftController:(-0.16, 1.08, 0.36)  rightController:(-0.01, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.04, 1.54, 0.15)  leftControllerVel:(-0.07, -0.01, 0.03)  rightControllerVel:(-0.08, 0.00, 0.02)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.20 16:34:57:10   leftController:(-0.17, 1.07, 0.36)  rightController:(-0.01, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.04, 1.54, 0.15)  leftControllerVel:(-0.07, -0.01, 0.03)  rightControllerVel:(-0.08, 0.00, 0.02)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.20 16:34:57:22   leftController:(-0.17, 1.07, 0.36)  rightController:(-0.01, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.05, 1.54, 0.15)  leftControllerVel:(-0.07, -0.01, 0.03)  rightControllerVel:(-0.08, 0.00, 0.02)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.20 16:34:57:34   leftController:(-0.17, 1.07, 0.37)  rightController:(-0.01, 1.06, 0.36)  leftTracker:(-0.20, 0.12, 0.09)  rightTracker:(0.08, 0.12, 0.04)  headset:(-0.05, 1.54, 0.15)  leftControllerVel:(-0.07, -0.01, 0.03)  rightControllerVel:(-0.07, 0.00, 0.02)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(-0.01, 0.00, 0.01)
