2021.4.27 11:08:47:242   leftController:(0.18, 1.21, -0.20)  rightController:(0.38, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.31, 1.66, -0.40)  leftControllerVel:(-0.02, 0.01, -0.01)  rightControllerVel:(0.00, -0.03, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:252   leftController:(0.18, 1.21, -0.20)  rightController:(0.38, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.31, 1.66, -0.40)  leftControllerVel:(-0.02, 0.01, -0.01)  rightControllerVel:(0.01, -0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:263   leftController:(0.18, 1.21, -0.20)  rightController:(0.38, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.31, 1.66, -0.40)  leftControllerVel:(-0.02, 0.01, -0.01)  rightControllerVel:(-0.02, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:274   leftController:(0.18, 1.21, -0.20)  rightController:(0.38, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.31, 1.66, -0.40)  leftControllerVel:(-0.02, 0.01, -0.01)  rightControllerVel:(-0.03, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:298   leftController:(0.18, 1.21, -0.20)  rightController:(0.38, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(-0.02, 0.00, -0.01)  rightControllerVel:(-0.05, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:490   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(-0.02, -0.01, 0.00)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:502   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:513   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:520   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:525   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.27 11:08:47:531   leftController:(0.17, 1.21, -0.20)  rightController:(0.37, 1.22, -0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.30, 1.66, -0.40)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
