2021.4.28 16:13:18:229   leftController:(0.15, 1.22, 0.46)  rightController:(-0.07, 1.12, 0.48)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.64, 0.18)  leftControllerVel:(0.01, -0.02, 0.00)  rightControllerVel:(-0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:239   leftController:(0.15, 1.22, 0.46)  rightController:(-0.07, 1.12, 0.48)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.64, 0.18)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:284   leftController:(0.15, 1.22, 0.46)  rightController:(-0.07, 1.12, 0.48)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.64, 0.18)  leftControllerVel:(-0.05, -0.01, -0.02)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:506   leftController:(0.14, 1.23, 0.46)  rightController:(-0.07, 1.12, 0.48)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.64, 0.18)  leftControllerVel:(-0.02, 0.01, -0.01)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:519   leftController:(0.14, 1.23, 0.46)  rightController:(-0.07, 1.12, 0.48)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:528   leftController:(0.14, 1.23, 0.46)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:537   leftController:(0.14, 1.23, 0.46)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:546   leftController:(0.14, 1.23, 0.46)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:551   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:557   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, 0.00, -0.01)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.28 16:13:18:569   leftController:(0.14, 1.23, 0.45)  rightController:(-0.07, 1.12, 0.49)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.64, 0.19)  leftControllerVel:(-0.01, -0.01, -0.01)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
