2021.4.10 11:19:33:05   leftController:(0.36, 1.22, -0.29)  rightController:(0.53, 1.25, -0.36)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.41, 1.70, -0.52)  leftControllerVel:(0.02, 0.00, 0.01)  rightControllerVel:(0.04, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:20   leftController:(0.36, 1.22, -0.29)  rightController:(0.53, 1.25, -0.36)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.41, 1.70, -0.52)  leftControllerVel:(0.03, -0.01, 0.00)  rightControllerVel:(0.04, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:31   leftController:(0.36, 1.22, -0.29)  rightController:(0.54, 1.25, -0.36)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.41, 1.70, -0.52)  leftControllerVel:(0.03, -0.01, 0.00)  rightControllerVel:(0.04, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:47   leftController:(0.36, 1.22, -0.29)  rightController:(0.54, 1.25, -0.36)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.41, 1.70, -0.52)  leftControllerVel:(0.03, -0.01, 0.00)  rightControllerVel:(0.03, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:205   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.41, 1.70, -0.52)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.01, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:221   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.41, 1.70, -0.51)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.01, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:247   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.41, 1.70, -0.51)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:267   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.41, 1.70, -0.51)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:277   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.41, 1.70, -0.51)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:285   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.41, 1.70, -0.51)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:294   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.41, 1.70, -0.51)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:302   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.41, 1.70, -0.51)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:19:33:312   leftController:(0.37, 1.22, -0.29)  rightController:(0.54, 1.25, -0.35)  leftTracker:(0.29, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.41, 1.70, -0.51)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
