2021.4.10 11:22:28:245   leftController:(0.27, 0.72, -0.53)  rightController:(0.59, 1.23, -0.36)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.69, -0.53)  leftControllerVel:(0.01, 0.01, 0.03)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.10 11:22:28:402   leftController:(0.27, 0.72, -0.53)  rightController:(0.59, 1.23, -0.36)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.69, -0.53)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:418   leftController:(0.27, 0.72, -0.53)  rightController:(0.59, 1.23, -0.36)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.43, 1.69, -0.53)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:445   leftController:(0.27, 0.72, -0.53)  rightController:(0.59, 1.23, -0.36)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.53)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:458   leftController:(0.27, 0.72, -0.53)  rightController:(0.59, 1.23, -0.36)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.53)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.02, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:468   leftController:(0.27, 0.72, -0.53)  rightController:(0.59, 1.23, -0.36)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.53)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.02, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:477   leftController:(0.27, 0.72, -0.53)  rightController:(0.59, 1.23, -0.36)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.53)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.02, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:488   leftController:(0.27, 0.72, -0.53)  rightController:(0.59, 1.23, -0.36)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.53)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.02, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:500   leftController:(0.27, 0.72, -0.53)  rightController:(0.59, 1.23, -0.36)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.53)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.02, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:508   leftController:(0.27, 0.72, -0.53)  rightController:(0.59, 1.23, -0.36)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.53)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(-0.02, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:22:28:519   leftController:(0.27, 0.72, -0.53)  rightController:(0.59, 1.23, -0.36)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.53)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(-0.02, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.10 11:22:28:529   leftController:(0.27, 0.72, -0.53)  rightController:(0.59, 1.23, -0.36)  leftTracker:(0.31, 0.22, -0.62)  rightTracker:(0.51, 0.19, -0.67)  headset:(0.44, 1.69, -0.53)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(-0.02, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
