2021.4.10 11:24:57:226   leftController:(0.23, 1.15, -0.43)  rightController:(0.39, 1.16, -0.45)  leftTracker:(0.25, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.27, 1.69, -0.68)  leftControllerVel:(0.01, -0.01, -0.02)  rightControllerVel:(0.00, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:420   leftController:(0.23, 1.15, -0.43)  rightController:(0.39, 1.16, -0.45)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.68)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(-0.03, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:433   leftController:(0.23, 1.15, -0.43)  rightController:(0.39, 1.16, -0.45)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.68)  leftControllerVel:(0.00, 0.01, -0.01)  rightControllerVel:(-0.03, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:456   leftController:(0.23, 1.15, -0.43)  rightController:(0.38, 1.16, -0.45)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.00, 0.01, -0.02)  rightControllerVel:(-0.03, 0.01, -0.02)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:473   leftController:(0.23, 1.15, -0.43)  rightController:(0.38, 1.16, -0.45)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.00, 0.01, -0.02)  rightControllerVel:(-0.02, 0.01, -0.02)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:483   leftController:(0.23, 1.15, -0.43)  rightController:(0.38, 1.16, -0.45)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.00, 0.01, -0.02)  rightControllerVel:(-0.02, 0.01, -0.02)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:496   leftController:(0.23, 1.15, -0.43)  rightController:(0.38, 1.16, -0.45)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(-0.02, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:506   leftController:(0.23, 1.15, -0.43)  rightController:(0.38, 1.16, -0.45)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.01, 0.00, -0.02)  rightControllerVel:(-0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:514   leftController:(0.23, 1.15, -0.43)  rightController:(0.38, 1.16, -0.45)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.01, 0.00, -0.02)  rightControllerVel:(-0.01, 0.00, -0.01)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:523   leftController:(0.23, 1.15, -0.43)  rightController:(0.38, 1.16, -0.45)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.01, 0.00, -0.02)  rightControllerVel:(-0.01, -0.01, -0.01)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:536   leftController:(0.23, 1.15, -0.43)  rightController:(0.38, 1.16, -0.45)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.01, -0.01, -0.02)  rightControllerVel:(-0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:557   leftController:(0.23, 1.15, -0.44)  rightController:(0.38, 1.16, -0.45)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.01, -0.01, -0.02)  rightControllerVel:(-0.01, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:580   leftController:(0.23, 1.14, -0.44)  rightController:(0.38, 1.16, -0.45)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.02, -0.02, -0.02)  rightControllerVel:(0.00, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 11:24:57:602   leftController:(0.24, 1.14, -0.44)  rightController:(0.38, 1.16, -0.46)  leftTracker:(0.24, 0.22, -0.76)  rightTracker:(0.48, 0.20, -0.77)  headset:(0.26, 1.69, -0.69)  leftControllerVel:(0.02, -0.03, -0.02)  rightControllerVel:(0.00, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
