2021.4.10 19:09:06:798   leftController:(0.35, 0.94, -0.51)  rightController:(0.60, 1.01, -0.47)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.48, 1.58, -0.70)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.02, -0.03, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.10 19:09:06:841   leftController:(0.35, 0.94, -0.51)  rightController:(0.60, 1.01, -0.47)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.48, 1.58, -0.70)  leftControllerVel:(-0.02, -0.01, 0.00)  rightControllerVel:(-0.01, -0.01, -0.03)  leftTrackerVel:(0.00, -0.01, 0.01)  rightTrackerVel:(0.01, 0.01, 0.01)
2021.4.10 19:09:07:03   leftController:(0.35, 0.94, -0.51)  rightController:(0.59, 1.00, -0.47)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.48, 1.58, -0.70)  leftControllerVel:(-0.02, 0.00, 0.00)  rightControllerVel:(-0.04, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.10 19:09:07:19   leftController:(0.35, 0.94, -0.51)  rightController:(0.59, 1.01, -0.47)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.48, 1.58, -0.70)  leftControllerVel:(-0.02, 0.00, 0.00)  rightControllerVel:(-0.05, 0.02, -0.02)  leftTrackerVel:(-0.01, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.10 19:09:07:54   leftController:(0.35, 0.94, -0.51)  rightController:(0.59, 1.01, -0.47)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.48, 1.58, -0.70)  leftControllerVel:(-0.02, -0.01, 0.00)  rightControllerVel:(-0.04, 0.03, -0.03)  leftTrackerVel:(-0.01, 0.00, 0.01)  rightTrackerVel:(0.00, 0.01, 0.01)
2021.4.10 19:09:07:65   leftController:(0.35, 0.94, -0.51)  rightController:(0.59, 1.01, -0.47)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.48, 1.58, -0.70)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.04, 0.02, -0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.01)
2021.4.10 19:09:07:73   leftController:(0.35, 0.94, -0.51)  rightController:(0.59, 1.01, -0.47)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.48, 1.58, -0.70)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.04, 0.01, -0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.01)
2021.4.10 19:09:07:82   leftController:(0.35, 0.94, -0.51)  rightController:(0.59, 1.01, -0.47)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.48, 1.58, -0.70)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.04, 0.01, -0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.01)
2021.4.10 19:09:07:90   leftController:(0.35, 0.94, -0.51)  rightController:(0.59, 1.01, -0.47)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.20, -0.66)  headset:(0.48, 1.58, -0.70)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.04, 0.01, -0.02)  leftTrackerVel:(-0.01, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.10 19:09:07:99   leftController:(0.35, 0.94, -0.51)  rightController:(0.59, 1.01, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.48, 1.58, -0.70)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.04, 0.01, -0.02)  leftTrackerVel:(-0.01, 0.00, 0.01)  rightTrackerVel:(0.01, 0.00, 0.01)
2021.4.10 19:09:07:107   leftController:(0.35, 0.94, -0.51)  rightController:(0.59, 1.01, -0.48)  leftTracker:(0.45, 0.19, -0.75)  rightTracker:(0.66, 0.21, -0.66)  headset:(0.48, 1.58, -0.70)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(-0.04, 0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
