2021.4.10 19:13:04:644   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.09, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.58, -0.79)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:04:783   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.09, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.58, -0.79)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.03, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:04:800   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.09, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.58, -0.79)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:04:826   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.09, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.58, -0.79)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:04:840   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.09, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.58, -0.79)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:04:849   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.09, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.58, -0.79)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:04:858   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.09, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.58, -0.79)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:04:866   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.09, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.58, -0.79)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.02, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:04:875   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.09, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.58, -0.79)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.03, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:04:884   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.09, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.58, -0.79)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.04, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:13:04:905   leftController:(-0.27, 1.13, -0.62)  rightController:(-0.09, 1.15, -0.59)  leftTracker:(-0.21, 0.20, -0.90)  rightTracker:(-0.04, 0.22, -0.69)  headset:(-0.17, 1.58, -0.79)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.03, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
