2021.4.10 19:15:33:363   leftController:(-0.11, 0.89, -0.42)  rightController:(0.16, 0.93, -0.36)  leftTracker:(-0.12, 0.22, -0.73)  rightTracker:(0.09, 0.24, -0.51)  headset:(0.07, 1.58, -0.54)  leftControllerVel:(-0.24, 0.06, -0.04)  rightControllerVel:(-0.13, -0.01, -0.12)  leftTrackerVel:(0.00, -0.04, -0.06)  rightTrackerVel:(-0.02, 0.01, -0.01)
2021.4.10 19:15:33:500   leftController:(-0.14, 0.89, -0.43)  rightController:(0.14, 0.93, -0.38)  leftTracker:(-0.13, 0.21, -0.74)  rightTracker:(0.09, 0.24, -0.51)  headset:(0.05, 1.59, -0.56)  leftControllerVel:(-0.27, 0.01, -0.10)  rightControllerVel:(-0.19, -0.03, -0.14)  leftTrackerVel:(0.01, 0.00, -0.07)  rightTrackerVel:(-0.04, 0.02, -0.01)
2021.4.10 19:15:33:514   leftController:(-0.15, 0.89, -0.44)  rightController:(0.14, 0.93, -0.38)  leftTracker:(-0.13, 0.21, -0.75)  rightTracker:(0.08, 0.24, -0.51)  headset:(0.05, 1.59, -0.57)  leftControllerVel:(-0.27, 0.00, -0.10)  rightControllerVel:(-0.20, -0.05, -0.14)  leftTrackerVel:(0.01, 0.00, -0.07)  rightTrackerVel:(-0.04, 0.02, -0.01)
2021.4.10 19:15:33:535   leftController:(-0.15, 0.89, -0.44)  rightController:(0.13, 0.93, -0.38)  leftTracker:(-0.13, 0.21, -0.75)  rightTracker:(0.08, 0.24, -0.51)  headset:(0.04, 1.59, -0.57)  leftControllerVel:(-0.27, 0.00, -0.11)  rightControllerVel:(-0.19, -0.06, -0.14)  leftTrackerVel:(0.01, 0.00, -0.07)  rightTrackerVel:(-0.04, 0.02, -0.01)
2021.4.10 19:15:33:552   leftController:(-0.16, 0.89, -0.44)  rightController:(0.13, 0.93, -0.38)  leftTracker:(-0.12, 0.21, -0.75)  rightTracker:(0.08, 0.24, -0.51)  headset:(0.04, 1.59, -0.57)  leftControllerVel:(-0.28, -0.01, -0.11)  rightControllerVel:(-0.17, -0.04, -0.16)  leftTrackerVel:(-0.01, 0.00, -0.06)  rightTrackerVel:(-0.03, 0.02, 0.00)
2021.4.10 19:15:33:576   leftController:(-0.17, 0.89, -0.44)  rightController:(0.13, 0.93, -0.39)  leftTracker:(-0.12, 0.21, -0.75)  rightTracker:(0.08, 0.24, -0.51)  headset:(0.03, 1.59, -0.57)  leftControllerVel:(-0.28, -0.01, -0.11)  rightControllerVel:(-0.15, -0.03, -0.17)  leftTrackerVel:(-0.03, 0.00, -0.06)  rightTrackerVel:(-0.03, 0.01, 0.00)
2021.4.10 19:15:33:587   leftController:(-0.17, 0.89, -0.44)  rightController:(0.13, 0.93, -0.39)  leftTracker:(-0.12, 0.21, -0.75)  rightTracker:(0.08, 0.24, -0.51)  headset:(0.03, 1.59, -0.58)  leftControllerVel:(-0.28, -0.02, -0.11)  rightControllerVel:(-0.16, -0.03, -0.18)  leftTrackerVel:(-0.04, 0.00, -0.06)  rightTrackerVel:(-0.03, 0.01, -0.01)
2021.4.10 19:15:33:596   leftController:(-0.17, 0.89, -0.45)  rightController:(0.12, 0.93, -0.39)  leftTracker:(-0.12, 0.21, -0.75)  rightTracker:(0.08, 0.24, -0.51)  headset:(0.03, 1.59, -0.58)  leftControllerVel:(-0.28, -0.02, -0.11)  rightControllerVel:(-0.17, -0.05, -0.17)  leftTrackerVel:(-0.04, 0.00, -0.06)  rightTrackerVel:(-0.03, 0.02, -0.01)
2021.4.10 19:15:33:605   leftController:(-0.17, 0.89, -0.45)  rightController:(0.12, 0.93, -0.39)  leftTracker:(-0.12, 0.21, -0.75)  rightTracker:(0.08, 0.24, -0.51)  headset:(0.03, 1.59, -0.58)  leftControllerVel:(-0.27, -0.02, -0.11)  rightControllerVel:(-0.17, -0.06, -0.17)  leftTrackerVel:(-0.04, 0.00, -0.06)  rightTrackerVel:(-0.03, 0.02, -0.01)
2021.4.10 19:15:33:613   leftController:(-0.18, 0.89, -0.45)  rightController:(0.12, 0.93, -0.40)  leftTracker:(-0.12, 0.21, -0.75)  rightTracker:(0.08, 0.24, -0.51)  headset:(0.03, 1.59, -0.58)  leftControllerVel:(-0.27, -0.02, -0.12)  rightControllerVel:(-0.18, -0.07, -0.17)  leftTrackerVel:(-0.04, 0.00, -0.06)  rightTrackerVel:(-0.03, 0.02, -0.01)
2021.4.10 19:15:33:622   leftController:(-0.18, 0.89, -0.45)  rightController:(0.12, 0.93, -0.40)  leftTracker:(-0.12, 0.21, -0.75)  rightTracker:(0.08, 0.24, -0.51)  headset:(0.02, 1.59, -0.58)  leftControllerVel:(-0.27, -0.02, -0.12)  rightControllerVel:(-0.19, -0.08, -0.17)  leftTrackerVel:(-0.03, 0.00, -0.05)  rightTrackerVel:(-0.03, 0.02, -0.01)
