2021.4.10 19:34:42:703   leftController:(0.29, 1.38, -0.15)  rightController:(0.57, 1.20, -0.19)  leftTracker:(0.24, 0.21, -0.46)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.44, 1.73, -0.38)  leftControllerVel:(-0.09, -0.01, -0.02)  rightControllerVel:(-0.01, 0.06, -0.01)  leftTrackerVel:(-0.01, 0.00, -0.02)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 19:34:42:879   leftController:(0.28, 1.37, -0.15)  rightController:(0.56, 1.20, -0.18)  leftTracker:(0.24, 0.22, -0.46)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.73, -0.39)  leftControllerVel:(-0.06, -0.05, 0.03)  rightControllerVel:(-0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:34:42:901   leftController:(0.28, 1.37, -0.15)  rightController:(0.56, 1.20, -0.18)  leftTracker:(0.24, 0.22, -0.46)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.73, -0.39)  leftControllerVel:(-0.06, -0.05, 0.05)  rightControllerVel:(0.00, 0.00, 0.02)  leftTrackerVel:(-0.01, 0.00, -0.02)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 19:34:42:926   leftController:(0.28, 1.37, -0.15)  rightController:(0.56, 1.20, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.73, -0.39)  leftControllerVel:(-0.05, -0.06, 0.06)  rightControllerVel:(0.00, -0.01, 0.02)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 19:34:42:940   leftController:(0.27, 1.37, -0.15)  rightController:(0.56, 1.20, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.73, -0.39)  leftControllerVel:(-0.05, -0.06, 0.06)  rightControllerVel:(0.00, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 19:34:42:949   leftController:(0.27, 1.37, -0.15)  rightController:(0.56, 1.20, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.73, -0.39)  leftControllerVel:(-0.05, -0.06, 0.06)  rightControllerVel:(0.00, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 19:34:42:958   leftController:(0.27, 1.37, -0.14)  rightController:(0.56, 1.20, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.73, -0.39)  leftControllerVel:(-0.06, -0.06, 0.05)  rightControllerVel:(0.00, -0.02, 0.02)  leftTrackerVel:(0.00, -0.01, 0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 19:34:42:968   leftController:(0.27, 1.37, -0.14)  rightController:(0.56, 1.20, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.73, -0.39)  leftControllerVel:(-0.07, -0.06, 0.05)  rightControllerVel:(-0.01, -0.01, 0.02)  leftTrackerVel:(0.00, -0.01, 0.01)  rightTrackerVel:(0.00, 0.01, 0.00)
2021.4.10 19:34:42:978   leftController:(0.27, 1.37, -0.14)  rightController:(0.56, 1.20, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.73, -0.39)  leftControllerVel:(-0.08, -0.06, 0.05)  rightControllerVel:(-0.01, -0.01, 0.02)  leftTrackerVel:(0.00, -0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:34:42:991   leftController:(0.27, 1.37, -0.14)  rightController:(0.56, 1.20, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.73, -0.39)  leftControllerVel:(-0.07, -0.06, 0.05)  rightControllerVel:(0.00, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:34:43:00   leftController:(0.27, 1.37, -0.14)  rightController:(0.56, 1.20, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.42, 1.73, -0.39)  leftControllerVel:(-0.06, -0.06, 0.05)  rightControllerVel:(0.00, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:34:43:15   leftController:(0.27, 1.36, -0.14)  rightController:(0.56, 1.20, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.73, -0.39)  leftControllerVel:(-0.05, -0.06, 0.04)  rightControllerVel:(-0.01, 0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:34:43:31   leftController:(0.27, 1.36, -0.14)  rightController:(0.56, 1.20, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.73, -0.39)  leftControllerVel:(-0.03, -0.04, 0.03)  rightControllerVel:(-0.01, 0.03, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:34:43:55   leftController:(0.27, 1.36, -0.14)  rightController:(0.56, 1.20, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.74, -0.39)  leftControllerVel:(-0.03, -0.03, 0.01)  rightControllerVel:(-0.01, 0.05, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:34:43:83   leftController:(0.27, 1.36, -0.14)  rightController:(0.56, 1.20, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.74, -0.38)  leftControllerVel:(-0.03, -0.02, 0.00)  rightControllerVel:(-0.01, 0.07, 0.03)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.10 19:34:43:99   leftController:(0.27, 1.36, -0.14)  rightController:(0.56, 1.20, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.74, -0.38)  leftControllerVel:(-0.01, -0.03, 0.01)  rightControllerVel:(0.00, 0.08, 0.03)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.10 19:34:43:121   leftController:(0.27, 1.36, -0.14)  rightController:(0.56, 1.21, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.74, -0.38)  leftControllerVel:(0.01, -0.03, 0.01)  rightControllerVel:(-0.01, 0.09, 0.03)  leftTrackerVel:(0.00, 0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:34:43:143   leftController:(0.27, 1.36, -0.14)  rightController:(0.56, 1.21, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.73, -0.38)  leftControllerVel:(0.03, -0.03, 0.01)  rightControllerVel:(-0.01, 0.10, 0.03)  leftTrackerVel:(0.00, 0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:34:43:168   leftController:(0.27, 1.36, -0.14)  rightController:(0.56, 1.21, -0.18)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.73, -0.38)  leftControllerVel:(0.05, -0.04, 0.00)  rightControllerVel:(0.01, 0.10, 0.02)  leftTrackerVel:(0.01, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:34:43:188   leftController:(0.27, 1.36, -0.14)  rightController:(0.56, 1.21, -0.17)  leftTracker:(0.24, 0.22, -0.47)  rightTracker:(0.53, 0.20, -0.50)  headset:(0.41, 1.73, -0.38)  leftControllerVel:(0.06, -0.06, 0.01)  rightControllerVel:(0.02, 0.09, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
