2021.4.10 19:37:21:892   leftController:(0.17, 1.24, -0.22)  rightController:(0.49, 1.22, -0.23)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.36, 1.73, -0.45)  leftControllerVel:(0.00, 0.02, 0.01)  rightControllerVel:(-0.03, 0.03, 0.00)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:48   leftController:(0.17, 1.24, -0.21)  rightController:(0.50, 1.22, -0.22)  leftTracker:(0.23, 0.21, -0.58)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.36, 1.73, -0.45)  leftControllerVel:(0.02, -0.03, 0.04)  rightControllerVel:(0.04, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:63   leftController:(0.17, 1.24, -0.21)  rightController:(0.50, 1.22, -0.22)  leftTracker:(0.23, 0.21, -0.58)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.36, 1.73, -0.45)  leftControllerVel:(0.02, -0.03, 0.04)  rightControllerVel:(0.04, 0.00, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:88   leftController:(0.17, 1.24, -0.21)  rightController:(0.50, 1.22, -0.22)  leftTracker:(0.23, 0.22, -0.58)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.36, 1.73, -0.45)  leftControllerVel:(0.03, -0.02, 0.04)  rightControllerVel:(0.04, 0.01, 0.02)  leftTrackerVel:(0.00, -0.01, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:104   leftController:(0.17, 1.24, -0.21)  rightController:(0.50, 1.22, -0.22)  leftTracker:(0.23, 0.22, -0.58)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.36, 1.73, -0.45)  leftControllerVel:(0.03, -0.01, 0.03)  rightControllerVel:(0.04, 0.02, 0.00)  leftTrackerVel:(0.00, -0.01, 0.03)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:114   leftController:(0.17, 1.24, -0.21)  rightController:(0.50, 1.22, -0.22)  leftTracker:(0.23, 0.22, -0.58)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.36, 1.73, -0.45)  leftControllerVel:(0.02, 0.00, 0.03)  rightControllerVel:(0.04, 0.02, 0.00)  leftTrackerVel:(0.00, -0.01, 0.03)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:123   leftController:(0.17, 1.24, -0.21)  rightController:(0.50, 1.22, -0.22)  leftTracker:(0.23, 0.21, -0.58)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.36, 1.73, -0.45)  leftControllerVel:(0.02, 0.01, 0.03)  rightControllerVel:(0.02, 0.02, 0.00)  leftTrackerVel:(0.00, -0.01, 0.04)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:135   leftController:(0.17, 1.24, -0.21)  rightController:(0.50, 1.22, -0.22)  leftTracker:(0.23, 0.21, -0.58)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.36, 1.73, -0.45)  leftControllerVel:(0.03, 0.02, 0.02)  rightControllerVel:(0.01, 0.03, 0.00)  leftTrackerVel:(0.00, -0.01, 0.04)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:146   leftController:(0.17, 1.24, -0.21)  rightController:(0.50, 1.22, -0.22)  leftTracker:(0.23, 0.21, -0.58)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.36, 1.73, -0.45)  leftControllerVel:(0.03, 0.02, 0.02)  rightControllerVel:(0.00, 0.03, 0.00)  leftTrackerVel:(0.00, -0.01, 0.04)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:157   leftController:(0.17, 1.24, -0.21)  rightController:(0.50, 1.22, -0.22)  leftTracker:(0.23, 0.21, -0.58)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.36, 1.73, -0.45)  leftControllerVel:(0.03, 0.03, 0.02)  rightControllerVel:(0.00, 0.04, 0.00)  leftTrackerVel:(0.00, -0.01, 0.04)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:166   leftController:(0.17, 1.24, -0.21)  rightController:(0.50, 1.22, -0.22)  leftTracker:(0.23, 0.21, -0.58)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.37, 1.73, -0.45)  leftControllerVel:(0.03, 0.03, 0.02)  rightControllerVel:(0.00, 0.04, 0.01)  leftTrackerVel:(0.00, -0.01, 0.03)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:179   leftController:(0.17, 1.24, -0.21)  rightController:(0.50, 1.22, -0.22)  leftTracker:(0.23, 0.21, -0.58)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.37, 1.73, -0.45)  leftControllerVel:(0.04, 0.04, 0.02)  rightControllerVel:(0.01, 0.04, 0.01)  leftTrackerVel:(0.00, -0.01, 0.03)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:201   leftController:(0.17, 1.24, -0.21)  rightController:(0.50, 1.23, -0.22)  leftTracker:(0.23, 0.21, -0.58)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.37, 1.73, -0.45)  leftControllerVel:(0.05, 0.05, 0.02)  rightControllerVel:(0.02, 0.04, 0.01)  leftTrackerVel:(0.00, -0.02, 0.03)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:225   leftController:(0.17, 1.24, -0.21)  rightController:(0.50, 1.23, -0.22)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.04, 0.06, 0.02)  rightControllerVel:(0.02, 0.03, 0.01)  leftTrackerVel:(0.00, -0.01, 0.03)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:251   leftController:(0.17, 1.24, -0.21)  rightController:(0.50, 1.23, -0.22)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.03, 0.05, 0.02)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, -0.01, 0.03)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:268   leftController:(0.17, 1.24, -0.21)  rightController:(0.50, 1.23, -0.22)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.03, 0.04, 0.02)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:290   leftController:(0.17, 1.24, -0.21)  rightController:(0.50, 1.23, -0.22)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.03, 0.03, 0.02)  rightControllerVel:(0.01, 0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:313   leftController:(0.18, 1.24, -0.21)  rightController:(0.50, 1.23, -0.22)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.04, 0.01, 0.03)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:337   leftController:(0.18, 1.24, -0.21)  rightController:(0.50, 1.23, -0.22)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.04, -0.01, 0.03)  rightControllerVel:(0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:357   leftController:(0.18, 1.24, -0.20)  rightController:(0.50, 1.23, -0.22)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.05, -0.01, 0.03)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:380   leftController:(0.18, 1.24, -0.20)  rightController:(0.50, 1.23, -0.22)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.05, -0.02, 0.03)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:407   leftController:(0.18, 1.24, -0.20)  rightController:(0.50, 1.23, -0.22)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.05, -0.02, 0.02)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:429   leftController:(0.18, 1.24, -0.20)  rightController:(0.50, 1.23, -0.22)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.05, -0.02, 0.01)  rightControllerVel:(-0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.01, -0.01)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.10 19:37:22:447   leftController:(0.18, 1.24, -0.20)  rightController:(0.50, 1.23, -0.22)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.06, -0.03, 0.01)  rightControllerVel:(-0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.01, -0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:469   leftController:(0.18, 1.24, -0.20)  rightController:(0.50, 1.23, -0.22)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.06, -0.03, 0.01)  rightControllerVel:(-0.01, -0.02, 0.00)  leftTrackerVel:(-0.01, 0.01, -0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:492   leftController:(0.18, 1.24, -0.20)  rightController:(0.50, 1.23, -0.22)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.21, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.06, -0.03, 0.00)  rightControllerVel:(-0.01, -0.04, 0.01)  leftTrackerVel:(-0.01, 0.01, -0.03)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:519   leftController:(0.19, 1.24, -0.20)  rightController:(0.50, 1.23, -0.22)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.05, -0.03, -0.01)  rightControllerVel:(-0.01, -0.07, 0.02)  leftTrackerVel:(0.00, 0.01, -0.03)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:37:22:536   leftController:(0.19, 1.24, -0.20)  rightController:(0.50, 1.22, -0.22)  leftTracker:(0.23, 0.21, -0.57)  rightTracker:(0.50, 0.20, -0.58)  headset:(0.37, 1.73, -0.46)  leftControllerVel:(0.05, -0.04, -0.01)  rightControllerVel:(0.01, -0.08, 0.03)  leftTrackerVel:(0.00, 0.01, -0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
