2021.4.10 19:39:51:422   leftController:(0.10, 1.11, -0.26)  rightController:(0.30, 1.24, -0.23)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.42)  leftControllerVel:(-0.02, -0.01, 0.00)  rightControllerVel:(0.06, 0.04, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:51:596   leftController:(0.09, 1.11, -0.26)  rightController:(0.30, 1.24, -0.23)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.42)  leftControllerVel:(-0.13, -0.02, 0.04)  rightControllerVel:(-0.02, -0.07, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:51:614   leftController:(0.09, 1.11, -0.26)  rightController:(0.30, 1.24, -0.23)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.42)  leftControllerVel:(-0.14, -0.05, 0.05)  rightControllerVel:(-0.04, -0.12, 0.03)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:51:643   leftController:(0.08, 1.11, -0.26)  rightController:(0.30, 1.23, -0.23)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.42)  leftControllerVel:(-0.12, -0.17, 0.05)  rightControllerVel:(-0.06, -0.23, 0.03)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:51:658   leftController:(0.08, 1.10, -0.26)  rightController:(0.30, 1.23, -0.23)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.42)  leftControllerVel:(-0.11, -0.26, 0.06)  rightControllerVel:(-0.06, -0.27, 0.03)  leftTrackerVel:(0.00, -0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:51:672   leftController:(0.08, 1.10, -0.25)  rightController:(0.30, 1.22, -0.23)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.42)  leftControllerVel:(-0.09, -0.32, 0.07)  rightControllerVel:(-0.02, -0.31, 0.02)  leftTrackerVel:(0.00, -0.01, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:51:683   leftController:(0.08, 1.10, -0.25)  rightController:(0.30, 1.22, -0.23)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.42)  leftControllerVel:(-0.08, -0.38, 0.09)  rightControllerVel:(0.01, -0.33, 0.02)  leftTrackerVel:(0.00, -0.01, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:51:692   leftController:(0.08, 1.09, -0.25)  rightController:(0.30, 1.21, -0.23)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.42)  leftControllerVel:(-0.07, -0.41, 0.10)  rightControllerVel:(0.06, -0.34, 0.02)  leftTrackerVel:(0.00, -0.01, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:51:702   leftController:(0.08, 1.09, -0.25)  rightController:(0.30, 1.21, -0.23)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.42)  leftControllerVel:(-0.06, -0.43, 0.10)  rightControllerVel:(0.13, -0.35, 0.03)  leftTrackerVel:(0.00, -0.01, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:51:711   leftController:(0.08, 1.08, -0.25)  rightController:(0.30, 1.21, -0.23)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.42)  leftControllerVel:(-0.07, -0.42, 0.10)  rightControllerVel:(0.19, -0.37, 0.03)  leftTrackerVel:(0.00, -0.01, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:51:720   leftController:(0.08, 1.08, -0.25)  rightController:(0.31, 1.20, -0.23)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.22, 1.72, -0.42)  leftControllerVel:(-0.05, -0.41, 0.08)  rightControllerVel:(0.24, -0.39, 0.03)  leftTrackerVel:(0.00, -0.01, 0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 19:39:51:744   leftController:(0.08, 1.07, -0.25)  rightController:(0.31, 1.19, -0.23)  leftTracker:(0.05, 0.21, -0.55)  rightTracker:(0.39, 0.21, -0.56)  headset:(0.23, 1.72, -0.42)  leftControllerVel:(-0.01, -0.37, 0.05)  rightControllerVel:(0.26, -0.46, 0.03)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
