2021.4.10 20:07:28:718   leftController:(0.32, 0.66, -0.58)  rightController:(0.60, 1.05, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(0.04, -0.06, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.10 20:07:28:876   leftController:(0.32, 0.66, -0.58)  rightController:(0.60, 1.04, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(-0.07, 0.01, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:28:891   leftController:(0.32, 0.66, -0.58)  rightController:(0.60, 1.04, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(-0.07, 0.02, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:28:924   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.07, 0.01, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:28:936   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.07, 0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:28:945   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.06, 0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:28:954   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.05, 0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:28:963   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.04, 0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:28:972   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.05, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(-0.04, 0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:28:980   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.05, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(-0.03, 0.02, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:08   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.05, -0.49)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(-0.02, 0.01, 0.01)  rightControllerVel:(-0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.10 20:07:29:24   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(-0.03, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:47   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(-0.03, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:75   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.00, 0.01, 0.01)  rightControllerVel:(-0.04, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:94   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(-0.03, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:113   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:136   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.05, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:158   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.05, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:183   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.05, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:203   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.05, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:230   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:247   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:272   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.01, 0.00, -0.01)  rightControllerVel:(0.02, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:293   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.01, 0.00, -0.01)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:315   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.01, 0.00, -0.01)  rightControllerVel:(-0.01, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:337   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.00, -0.01, -0.01)  rightControllerVel:(-0.02, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:360   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.00, -0.01, -0.01)  rightControllerVel:(-0.02, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:07:29:390   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.00, -0.01, -0.01)  rightControllerVel:(-0.01, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.10 20:07:29:404   leftController:(0.32, 0.66, -0.58)  rightController:(0.59, 1.04, -0.50)  leftTracker:(0.39, 0.22, -0.72)  rightTracker:(0.60, 0.20, -0.80)  headset:(0.49, 1.56, -0.72)  leftControllerVel:(0.00, -0.01, -0.01)  rightControllerVel:(0.00, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
