2021.4.10 20:10:01:921   leftController:(-0.22, 1.07, 0.12)  rightController:(0.11, 1.03, 0.11)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.02, 1.56, -0.18)  leftControllerVel:(-0.11, -0.01, 0.01)  rightControllerVel:(-0.06, 0.00, -0.03)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:10:02:86   leftController:(-0.23, 1.07, 0.12)  rightController:(0.09, 1.03, 0.11)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.03, 1.56, -0.18)  leftControllerVel:(-0.03, -0.01, 0.02)  rightControllerVel:(-0.11, -0.03, 0.00)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 20:10:02:103   leftController:(-0.24, 1.07, 0.12)  rightController:(0.09, 1.03, 0.11)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.03, 1.56, -0.18)  leftControllerVel:(-0.03, -0.01, 0.02)  rightControllerVel:(-0.11, -0.02, 0.00)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.01)
2021.4.10 20:10:02:135   leftController:(-0.24, 1.07, 0.12)  rightController:(0.09, 1.03, 0.11)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.03, 1.56, -0.18)  leftControllerVel:(-0.02, -0.01, 0.02)  rightControllerVel:(-0.11, -0.02, 0.00)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 20:10:02:151   leftController:(-0.24, 1.07, 0.12)  rightController:(0.09, 1.03, 0.11)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.03, 1.56, -0.18)  leftControllerVel:(-0.02, -0.02, 0.02)  rightControllerVel:(-0.10, -0.02, 0.00)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:10:02:160   leftController:(-0.24, 1.07, 0.12)  rightController:(0.09, 1.03, 0.11)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.03, 1.56, -0.18)  leftControllerVel:(-0.02, -0.02, 0.02)  rightControllerVel:(-0.09, -0.02, 0.00)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:10:02:170   leftController:(-0.24, 1.07, 0.12)  rightController:(0.08, 1.03, 0.11)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.03, 1.56, -0.18)  leftControllerVel:(-0.02, -0.02, 0.02)  rightControllerVel:(-0.09, -0.02, -0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:10:02:179   leftController:(-0.24, 1.07, 0.12)  rightController:(0.08, 1.03, 0.11)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.03, 1.56, -0.18)  leftControllerVel:(-0.01, -0.02, 0.02)  rightControllerVel:(-0.09, -0.01, -0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:10:02:188   leftController:(-0.24, 1.07, 0.12)  rightController:(0.08, 1.03, 0.11)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.03, 1.56, -0.18)  leftControllerVel:(-0.01, -0.02, 0.02)  rightControllerVel:(-0.08, -0.01, -0.01)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:10:02:196   leftController:(-0.24, 1.07, 0.12)  rightController:(0.08, 1.03, 0.11)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.03, 1.56, -0.18)  leftControllerVel:(-0.01, -0.02, 0.02)  rightControllerVel:(-0.07, -0.01, -0.01)  leftTrackerVel:(-0.01, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:10:02:206   leftController:(-0.24, 1.07, 0.12)  rightController:(0.08, 1.03, 0.11)  leftTracker:(-0.20, 0.22, -0.19)  rightTracker:(0.05, 0.20, -0.23)  headset:(-0.03, 1.56, -0.18)  leftControllerVel:(-0.01, -0.02, 0.02)  rightControllerVel:(-0.07, -0.01, -0.01)  leftTrackerVel:(-0.01, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
