2021.4.10 20:12:30:333   leftController:(-0.09, 1.06, 0.40)  rightController:(0.20, 1.02, 0.46)  leftTracker:(-0.14, 0.23, 0.15)  rightTracker:(0.12, 0.21, 0.12)  headset:(0.09, 1.57, 0.18)  leftControllerVel:(0.09, 0.14, -0.08)  rightControllerVel:(0.06, 0.00, -0.09)  leftTrackerVel:(-0.04, 0.02, -0.02)  rightTrackerVel:(0.01, 0.00, -0.03)
2021.4.10 20:12:30:494   leftController:(-0.07, 1.08, 0.38)  rightController:(0.19, 1.02, 0.45)  leftTracker:(-0.14, 0.23, 0.15)  rightTracker:(0.12, 0.21, 0.11)  headset:(0.09, 1.58, 0.18)  leftControllerVel:(0.02, 0.10, -0.09)  rightControllerVel:(-0.09, 0.05, -0.03)  leftTrackerVel:(0.03, -0.02, -0.13)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.10 20:12:30:528   leftController:(-0.07, 1.08, 0.38)  rightController:(0.19, 1.02, 0.45)  leftTracker:(-0.14, 0.23, 0.15)  rightTracker:(0.12, 0.21, 0.11)  headset:(0.09, 1.58, 0.17)  leftControllerVel:(0.00, 0.06, -0.07)  rightControllerVel:(-0.10, 0.05, -0.06)  leftTrackerVel:(0.04, -0.04, -0.20)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.10 20:12:30:560   leftController:(-0.07, 1.08, 0.38)  rightController:(0.19, 1.03, 0.45)  leftTracker:(-0.14, 0.23, 0.15)  rightTracker:(0.12, 0.21, 0.11)  headset:(0.09, 1.58, 0.17)  leftControllerVel:(-0.01, 0.02, -0.05)  rightControllerVel:(-0.13, 0.04, -0.07)  leftTrackerVel:(0.04, -0.03, -0.24)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.10 20:12:30:572   leftController:(-0.07, 1.08, 0.38)  rightController:(0.18, 1.03, 0.45)  leftTracker:(-0.14, 0.23, 0.15)  rightTracker:(0.12, 0.22, 0.11)  headset:(0.09, 1.58, 0.17)  leftControllerVel:(-0.02, 0.01, -0.05)  rightControllerVel:(-0.14, 0.03, -0.08)  leftTrackerVel:(0.03, -0.03, -0.26)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.10 20:12:30:581   leftController:(-0.07, 1.09, 0.38)  rightController:(0.18, 1.03, 0.45)  leftTracker:(-0.14, 0.23, 0.15)  rightTracker:(0.12, 0.22, 0.11)  headset:(0.09, 1.58, 0.17)  leftControllerVel:(-0.02, 0.02, -0.04)  rightControllerVel:(-0.15, 0.02, -0.08)  leftTrackerVel:(0.03, -0.03, -0.27)  rightTrackerVel:(0.01, 0.00, -0.01)
2021.4.10 20:12:30:590   leftController:(-0.07, 1.09, 0.38)  rightController:(0.18, 1.03, 0.44)  leftTracker:(-0.14, 0.23, 0.14)  rightTracker:(0.12, 0.21, 0.11)  headset:(0.09, 1.58, 0.17)  leftControllerVel:(-0.02, 0.02, -0.04)  rightControllerVel:(-0.16, 0.02, -0.09)  leftTrackerVel:(0.03, -0.02, -0.27)  rightTrackerVel:(0.01, 0.00, -0.01)
2021.4.10 20:12:30:600   leftController:(-0.07, 1.09, 0.38)  rightController:(0.18, 1.03, 0.44)  leftTracker:(-0.14, 0.23, 0.14)  rightTracker:(0.12, 0.21, 0.11)  headset:(0.09, 1.58, 0.17)  leftControllerVel:(-0.02, 0.02, -0.04)  rightControllerVel:(-0.17, 0.01, -0.09)  leftTrackerVel:(0.03, -0.02, -0.28)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.10 20:12:30:608   leftController:(-0.07, 1.09, 0.38)  rightController:(0.18, 1.03, 0.44)  leftTracker:(-0.14, 0.23, 0.14)  rightTracker:(0.12, 0.21, 0.11)  headset:(0.09, 1.58, 0.17)  leftControllerVel:(-0.03, 0.02, -0.04)  rightControllerVel:(-0.19, 0.00, -0.10)  leftTrackerVel:(0.03, -0.02, -0.29)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.10 20:12:30:618   leftController:(-0.07, 1.09, 0.38)  rightController:(0.18, 1.03, 0.44)  leftTracker:(-0.14, 0.23, 0.14)  rightTracker:(0.12, 0.21, 0.11)  headset:(0.09, 1.58, 0.17)  leftControllerVel:(-0.04, 0.02, -0.04)  rightControllerVel:(-0.20, 0.00, -0.10)  leftTrackerVel:(0.03, -0.03, -0.29)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.10 20:12:30:628   leftController:(-0.07, 1.09, 0.38)  rightController:(0.17, 1.03, 0.44)  leftTracker:(-0.14, 0.23, 0.13)  rightTracker:(0.12, 0.21, 0.11)  headset:(0.09, 1.58, 0.17)  leftControllerVel:(-0.06, 0.02, -0.04)  rightControllerVel:(-0.22, -0.01, -0.11)  leftTrackerVel:(0.03, -0.03, -0.30)  rightTrackerVel:(-0.01, 0.00, -0.01)
2021.4.10 20:12:30:643   leftController:(-0.07, 1.09, 0.38)  rightController:(0.17, 1.03, 0.44)  leftTracker:(-0.14, 0.23, 0.13)  rightTracker:(0.12, 0.21, 0.11)  headset:(0.09, 1.58, 0.17)  leftControllerVel:(-0.07, 0.03, -0.04)  rightControllerVel:(-0.24, -0.02, -0.12)  leftTrackerVel:(0.03, -0.03, -0.29)  rightTrackerVel:(-0.01, 0.00, -0.01)
2021.4.10 20:12:30:664   leftController:(-0.08, 1.09, 0.38)  rightController:(0.16, 1.03, 0.44)  leftTracker:(-0.14, 0.23, 0.12)  rightTracker:(0.12, 0.21, 0.11)  headset:(0.08, 1.58, 0.17)  leftControllerVel:(-0.10, 0.02, -0.04)  rightControllerVel:(-0.27, -0.05, -0.13)  leftTrackerVel:(0.02, -0.02, -0.28)  rightTrackerVel:(-0.01, 0.00, -0.01)
2021.4.10 20:12:30:686   leftController:(-0.08, 1.09, 0.37)  rightController:(0.16, 1.02, 0.43)  leftTracker:(-0.14, 0.23, 0.12)  rightTracker:(0.12, 0.21, 0.11)  headset:(0.08, 1.58, 0.17)  leftControllerVel:(-0.13, 0.03, -0.04)  rightControllerVel:(-0.29, -0.08, -0.13)  leftTrackerVel:(0.01, -0.03, -0.27)  rightTrackerVel:(-0.01, 0.00, -0.01)
2021.4.10 20:12:30:717   leftController:(-0.08, 1.09, 0.37)  rightController:(0.15, 1.02, 0.43)  leftTracker:(-0.14, 0.23, 0.11)  rightTracker:(0.12, 0.21, 0.11)  headset:(0.08, 1.58, 0.16)  leftControllerVel:(-0.17, 0.09, -0.04)  rightControllerVel:(-0.31, -0.10, -0.15)  leftTrackerVel:(0.00, -0.03, -0.25)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 20:12:30:737   leftController:(-0.09, 1.09, 0.37)  rightController:(0.14, 1.02, 0.43)  leftTracker:(-0.13, 0.23, 0.10)  rightTracker:(0.12, 0.22, 0.11)  headset:(0.07, 1.58, 0.16)  leftControllerVel:(-0.21, 0.13, -0.04)  rightControllerVel:(-0.33, -0.11, -0.16)  leftTrackerVel:(-0.01, -0.04, -0.22)  rightTrackerVel:(-0.02, 0.00, 0.00)
2021.4.10 20:12:30:753   leftController:(-0.09, 1.09, 0.37)  rightController:(0.14, 1.02, 0.42)  leftTracker:(-0.13, 0.23, 0.09)  rightTracker:(0.12, 0.22, 0.11)  headset:(0.07, 1.58, 0.16)  leftControllerVel:(-0.24, 0.16, -0.04)  rightControllerVel:(-0.34, -0.11, -0.17)  leftTrackerVel:(-0.01, -0.04, -0.21)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.10 20:12:30:776   leftController:(-0.10, 1.10, 0.37)  rightController:(0.13, 1.01, 0.42)  leftTracker:(-0.13, 0.23, 0.09)  rightTracker:(0.12, 0.22, 0.11)  headset:(0.07, 1.58, 0.15)  leftControllerVel:(-0.28, 0.20, -0.04)  rightControllerVel:(-0.37, -0.12, -0.18)  leftTrackerVel:(-0.02, -0.05, -0.17)  rightTrackerVel:(-0.01, 0.01, 0.00)
2021.4.10 20:12:30:798   leftController:(-0.10, 1.10, 0.37)  rightController:(0.12, 1.01, 0.42)  leftTracker:(-0.13, 0.23, 0.08)  rightTracker:(0.12, 0.21, 0.11)  headset:(0.06, 1.58, 0.15)  leftControllerVel:(-0.33, 0.23, -0.04)  rightControllerVel:(-0.38, -0.13, -0.18)  leftTrackerVel:(-0.04, -0.05, -0.14)  rightTrackerVel:(-0.02, 0.01, 0.00)
2021.4.10 20:12:30:825   leftController:(-0.11, 1.11, 0.37)  rightController:(0.11, 1.01, 0.41)  leftTracker:(-0.13, 0.23, 0.07)  rightTracker:(0.12, 0.21, 0.11)  headset:(0.05, 1.58, 0.15)  leftControllerVel:(-0.35, 0.27, -0.04)  rightControllerVel:(-0.38, -0.16, -0.18)  leftTrackerVel:(-0.06, -0.06, -0.07)  rightTrackerVel:(-0.03, 0.01, 0.00)
2021.4.10 20:12:30:843   leftController:(-0.12, 1.12, 0.37)  rightController:(0.10, 1.00, 0.41)  leftTracker:(-0.14, 0.22, 0.07)  rightTracker:(0.12, 0.22, 0.11)  headset:(0.05, 1.58, 0.15)  leftControllerVel:(-0.37, 0.33, -0.02)  rightControllerVel:(-0.36, -0.17, -0.18)  leftTrackerVel:(-0.02, -0.05, -0.09)  rightTrackerVel:(-0.03, 0.01, 0.01)
2021.4.10 20:12:30:871   leftController:(-0.13, 1.13, 0.37)  rightController:(0.09, 1.00, 0.40)  leftTracker:(-0.14, 0.22, 0.07)  rightTracker:(0.12, 0.21, 0.11)  headset:(0.04, 1.58, 0.14)  leftControllerVel:(-0.45, 0.49, -0.06)  rightControllerVel:(-0.31, -0.18, -0.17)  leftTrackerVel:(-0.01, -0.03, -0.07)  rightTrackerVel:(-0.03, 0.01, 0.01)
2021.4.10 20:12:30:887   leftController:(-0.14, 1.14, 0.37)  rightController:(0.09, 1.00, 0.40)  leftTracker:(-0.14, 0.22, 0.06)  rightTracker:(0.12, 0.21, 0.11)  headset:(0.03, 1.58, 0.14)  leftControllerVel:(-0.50, 0.60, -0.09)  rightControllerVel:(-0.29, -0.19, -0.17)  leftTrackerVel:(-0.01, -0.01, -0.06)  rightTrackerVel:(-0.04, 0.02, 0.00)
2021.4.10 20:12:30:914   leftController:(-0.15, 1.16, 0.36)  rightController:(0.08, 0.99, 0.40)  leftTracker:(-0.14, 0.22, 0.06)  rightTracker:(0.12, 0.21, 0.11)  headset:(0.02, 1.58, 0.14)  leftControllerVel:(-0.52, 0.76, -0.11)  rightControllerVel:(-0.27, -0.20, -0.17)  leftTrackerVel:(0.00, 0.00, -0.06)  rightTrackerVel:(-0.06, 0.02, 0.01)
