2021.4.10 20:31:28:334   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.21, -0.40)  headset:(0.36, 1.64, -0.30)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:485   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.21, -0.40)  headset:(0.36, 1.64, -0.30)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:510   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.21, -0.40)  headset:(0.36, 1.64, -0.30)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:539   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.21, -0.40)  headset:(0.36, 1.64, -0.30)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(-0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:558   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.21, -0.40)  headset:(0.36, 1.64, -0.30)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(-0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:568   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.21, -0.40)  headset:(0.36, 1.64, -0.30)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(-0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:578   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.21, -0.40)  headset:(0.36, 1.64, -0.30)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(-0.01, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:587   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.21, -0.40)  headset:(0.36, 1.64, -0.30)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:596   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.21, -0.40)  headset:(0.36, 1.64, -0.30)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:605   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.21, -0.40)  headset:(0.36, 1.64, -0.30)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:620   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.21, -0.40)  headset:(0.36, 1.64, -0.30)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:643   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.21, -0.40)  headset:(0.36, 1.64, -0.30)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:664   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.21, -0.40)  headset:(0.36, 1.64, -0.30)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:692   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:708   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:733   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:753   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:775   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:797   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:822   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:850   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:864   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:887   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:910   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:931   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:954   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:28:976   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:08   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(0.02, 0.00, 0.00)  rightControllerVel:(-0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:23   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:43   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:65   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:89   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.24, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.36, 1.64, -0.29)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(-0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:110   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:121   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:133   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:150   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:159   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:168   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:180   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:190   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:31:29:200   leftController:(0.28, 1.25, -0.06)  rightController:(0.44, 1.21, -0.10)  leftTracker:(0.24, 0.25, -0.39)  rightTracker:(0.44, 0.22, -0.40)  headset:(0.35, 1.64, -0.29)  leftControllerVel:(-0.02, -0.02, 0.01)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
