2021.4.10 20:33:59:515   leftController:(-0.01, 1.09, -0.58)  rightController:(0.23, 1.27, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, -0.01, 0.00)
2021.4.10 20:33:59:664   leftController:(-0.01, 1.09, -0.58)  rightController:(0.24, 1.26, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.02, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.4.10 20:33:59:677   leftController:(-0.01, 1.09, -0.58)  rightController:(0.24, 1.26, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.03, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.4.10 20:33:59:709   leftController:(-0.01, 1.09, -0.58)  rightController:(0.23, 1.26, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.4.10 20:33:59:724   leftController:(-0.01, 1.09, -0.58)  rightController:(0.23, 1.26, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.01, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.4.10 20:33:59:734   leftController:(-0.01, 1.09, -0.58)  rightController:(0.23, 1.26, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.4.10 20:33:59:743   leftController:(-0.01, 1.09, -0.58)  rightController:(0.23, 1.26, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.01, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.4.10 20:33:59:752   leftController:(-0.01, 1.09, -0.58)  rightController:(0.23, 1.26, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.02, -0.02, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.4.10 20:33:59:762   leftController:(-0.01, 1.09, -0.58)  rightController:(0.23, 1.26, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(-0.02, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.4.10 20:33:59:771   leftController:(-0.01, 1.09, -0.58)  rightController:(0.23, 1.26, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(0.00, -0.02, 0.00)  rightControllerVel:(-0.02, -0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.4.10 20:33:59:782   leftController:(-0.01, 1.09, -0.58)  rightController:(0.23, 1.26, -0.52)  leftTracker:(-0.01, 0.24, -0.89)  rightTracker:(0.28, 0.22, -0.87)  headset:(0.14, 1.64, -0.80)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.02, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
