2021.4.10 20:36:30:74   leftController:(-0.02, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.37)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:226   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.01, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:244   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(-0.01, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:276   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(-0.02, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:291   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.02, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:301   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.01, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:311   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:321   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, -0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:333   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:343   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:354   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:370   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:379   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:392   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 20:36:30:423   leftController:(-0.03, 0.98, -0.18)  rightController:(0.23, 1.18, -0.12)  leftTracker:(-0.01, 0.25, -0.48)  rightTracker:(0.26, 0.22, -0.44)  headset:(0.14, 1.62, -0.36)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
