2021.4.10 10:03:44:45   leftController:(0.27, 1.20, -0.23)  rightController:(0.57, 1.16, -0.35)  leftTracker:(0.28, 0.20, -0.58)  rightTracker:(0.61, 0.18, -0.63)  headset:(0.37, 1.68, -0.46)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.02, 0.03, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:03:44:57   leftController:(0.27, 1.20, -0.23)  rightController:(0.57, 1.16, -0.35)  leftTracker:(0.28, 0.20, -0.58)  rightTracker:(0.61, 0.18, -0.63)  headset:(0.37, 1.68, -0.46)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(-0.06, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:03:44:77   leftController:(0.27, 1.20, -0.23)  rightController:(0.57, 1.16, -0.35)  leftTracker:(0.28, 0.20, -0.58)  rightTracker:(0.61, 0.18, -0.63)  headset:(0.37, 1.68, -0.46)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.07, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:03:44:240   leftController:(0.27, 1.20, -0.23)  rightController:(0.56, 1.16, -0.35)  leftTracker:(0.28, 0.20, -0.58)  rightTracker:(0.61, 0.18, -0.63)  headset:(0.37, 1.68, -0.46)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:03:44:259   leftController:(0.27, 1.20, -0.23)  rightController:(0.56, 1.16, -0.35)  leftTracker:(0.28, 0.20, -0.58)  rightTracker:(0.61, 0.18, -0.63)  headset:(0.37, 1.68, -0.46)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:03:44:300   leftController:(0.27, 1.20, -0.23)  rightController:(0.56, 1.16, -0.35)  leftTracker:(0.28, 0.20, -0.58)  rightTracker:(0.61, 0.18, -0.63)  headset:(0.37, 1.68, -0.46)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:03:44:309   leftController:(0.27, 1.20, -0.23)  rightController:(0.56, 1.16, -0.35)  leftTracker:(0.28, 0.20, -0.58)  rightTracker:(0.61, 0.18, -0.63)  headset:(0.37, 1.68, -0.46)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:03:44:316   leftController:(0.27, 1.20, -0.23)  rightController:(0.56, 1.16, -0.35)  leftTracker:(0.28, 0.20, -0.58)  rightTracker:(0.61, 0.18, -0.63)  headset:(0.37, 1.68, -0.46)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:03:44:324   leftController:(0.27, 1.20, -0.23)  rightController:(0.56, 1.16, -0.35)  leftTracker:(0.28, 0.20, -0.58)  rightTracker:(0.61, 0.18, -0.63)  headset:(0.37, 1.68, -0.46)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:03:44:332   leftController:(0.27, 1.20, -0.23)  rightController:(0.56, 1.16, -0.35)  leftTracker:(0.28, 0.20, -0.58)  rightTracker:(0.61, 0.18, -0.63)  headset:(0.37, 1.68, -0.46)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:03:44:341   leftController:(0.27, 1.20, -0.23)  rightController:(0.56, 1.16, -0.35)  leftTracker:(0.28, 0.20, -0.58)  rightTracker:(0.61, 0.18, -0.63)  headset:(0.37, 1.68, -0.46)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:03:44:352   leftController:(0.27, 1.20, -0.23)  rightController:(0.56, 1.16, -0.35)  leftTracker:(0.28, 0.20, -0.58)  rightTracker:(0.61, 0.18, -0.63)  headset:(0.37, 1.68, -0.46)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:03:44:375   leftController:(0.27, 1.20, -0.23)  rightController:(0.56, 1.16, -0.35)  leftTracker:(0.28, 0.20, -0.58)  rightTracker:(0.61, 0.18, -0.63)  headset:(0.37, 1.68, -0.46)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:03:44:396   leftController:(0.27, 1.20, -0.23)  rightController:(0.56, 1.16, -0.35)  leftTracker:(0.28, 0.20, -0.58)  rightTracker:(0.61, 0.18, -0.63)  headset:(0.37, 1.68, -0.46)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:03:44:419   leftController:(0.27, 1.20, -0.23)  rightController:(0.56, 1.16, -0.35)  leftTracker:(0.28, 0.20, -0.58)  rightTracker:(0.61, 0.18, -0.63)  headset:(0.37, 1.68, -0.46)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:03:44:442   leftController:(0.27, 1.20, -0.23)  rightController:(0.56, 1.16, -0.35)  leftTracker:(0.28, 0.20, -0.58)  rightTracker:(0.61, 0.18, -0.63)  headset:(0.37, 1.68, -0.46)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
