2021.4.10 10:06:23:291   leftController:(0.07, 1.04, -0.32)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.03, 0.01, 0.02)  rightControllerVel:(0.00, 0.03, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:443   leftController:(0.07, 1.04, -0.32)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.03, -0.01, 0.01)  rightControllerVel:(0.00, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:460   leftController:(0.07, 1.04, -0.32)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.03, 0.00, 0.01)  rightControllerVel:(0.00, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:488   leftController:(0.07, 1.04, -0.32)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.03, 0.01, 0.01)  rightControllerVel:(0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:499   leftController:(0.07, 1.04, -0.32)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.03, 0.01, 0.01)  rightControllerVel:(0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:507   leftController:(0.07, 1.04, -0.32)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.02, 0.01, 0.01)  rightControllerVel:(0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:515   leftController:(0.07, 1.04, -0.32)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.02, 0.01, 0.01)  rightControllerVel:(0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:524   leftController:(0.07, 1.04, -0.32)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.02, 0.00, 0.01)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:535   leftController:(0.07, 1.04, -0.32)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.02, 0.00, 0.01)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:544   leftController:(0.07, 1.04, -0.32)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:554   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:568   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:579   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:588   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.03, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:599   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.03, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:611   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.03, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:23:629   leftController:(0.07, 1.04, -0.31)  rightController:(0.32, 1.28, -0.29)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
