2021.4.10 10:08:52:497   leftController:(-0.15, 1.00, -0.32)  rightController:(0.16, 1.25, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(0.00, 1.68, -0.47)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.02, 0.02, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:650   leftController:(-0.15, 1.00, -0.32)  rightController:(0.16, 1.25, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.02, -0.01, 0.00)  rightControllerVel:(-0.01, 0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:667   leftController:(-0.15, 1.00, -0.32)  rightController:(0.16, 1.25, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.02, -0.02, 0.00)  rightControllerVel:(0.00, 0.00, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:690   leftController:(-0.14, 1.00, -0.32)  rightController:(0.16, 1.25, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.02, -0.02, 0.00)  rightControllerVel:(0.01, -0.02, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:705   leftController:(-0.14, 1.00, -0.32)  rightController:(0.16, 1.25, -0.27)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.01, -0.02, 0.00)  rightControllerVel:(0.01, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:714   leftController:(-0.14, 1.00, -0.32)  rightController:(0.16, 1.25, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.01, -0.02, 0.00)  rightControllerVel:(0.01, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:725   leftController:(-0.14, 1.00, -0.32)  rightController:(0.16, 1.25, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.04, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:734   leftController:(-0.14, 1.00, -0.32)  rightController:(0.16, 1.25, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.04, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:743   leftController:(-0.14, 1.00, -0.32)  rightController:(0.16, 1.25, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.04, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:752   leftController:(-0.14, 1.00, -0.32)  rightController:(0.16, 1.25, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:08:52:761   leftController:(-0.14, 1.00, -0.32)  rightController:(0.16, 1.25, -0.28)  leftTracker:(-0.11, 0.19, -0.60)  rightTracker:(0.30, 0.18, -0.63)  headset:(-0.01, 1.68, -0.47)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, -0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
