2021.4.11 16:07:04:895   leftController:(0.05, 1.32, -0.41)  rightController:(0.30, 1.13, -0.19)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.15, 1.40, -0.44)  leftControllerVel:(0.01, 0.00, -0.04)  rightControllerVel:(0.01, -0.04, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:43   leftController:(0.05, 1.32, -0.41)  rightController:(0.30, 1.13, -0.19)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.44)  leftControllerVel:(0.01, 0.00, -0.03)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:62   leftController:(0.05, 1.32, -0.41)  rightController:(0.30, 1.13, -0.19)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.44)  leftControllerVel:(0.01, 0.00, -0.03)  rightControllerVel:(-0.03, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:76   leftController:(0.05, 1.32, -0.41)  rightController:(0.30, 1.13, -0.19)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.44)  leftControllerVel:(0.01, 0.00, -0.03)  rightControllerVel:(-0.04, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:92   leftController:(0.05, 1.32, -0.41)  rightController:(0.30, 1.13, -0.19)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.44)  leftControllerVel:(0.01, 0.00, -0.03)  rightControllerVel:(-0.04, 0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:98   leftController:(0.05, 1.32, -0.41)  rightController:(0.30, 1.13, -0.19)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.44)  leftControllerVel:(0.01, 0.00, -0.03)  rightControllerVel:(-0.04, 0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:106   leftController:(0.05, 1.32, -0.41)  rightController:(0.30, 1.13, -0.19)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.44)  leftControllerVel:(0.01, 0.00, -0.03)  rightControllerVel:(-0.04, 0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:112   leftController:(0.05, 1.32, -0.41)  rightController:(0.30, 1.13, -0.19)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.44)  leftControllerVel:(0.01, 0.00, -0.03)  rightControllerVel:(-0.04, 0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:121   leftController:(0.05, 1.32, -0.41)  rightController:(0.30, 1.13, -0.19)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.44)  leftControllerVel:(0.01, 0.00, -0.03)  rightControllerVel:(-0.04, 0.00, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:133   leftController:(0.05, 1.32, -0.41)  rightController:(0.30, 1.13, -0.19)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.44)  leftControllerVel:(0.01, 0.00, -0.03)  rightControllerVel:(-0.04, 0.00, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 16:07:05:154   leftController:(0.05, 1.32, -0.41)  rightController:(0.30, 1.13, -0.19)  leftTracker:(0.08, 0.19, -0.51)  rightTracker:(0.31, 0.19, -0.46)  headset:(0.16, 1.40, -0.44)  leftControllerVel:(0.01, -0.01, -0.03)  rightControllerVel:(-0.04, 0.00, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
