2021.4.11 19:02:52:664   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.19, 1.68, -0.23)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:52:813   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.19, 1.68, -0.23)  leftControllerVel:(-0.02, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:52:856   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(-0.02, 0.00, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:52:869   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(-0.02, 0.00, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:52:883   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(-0.02, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:52:893   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(-0.02, 0.00, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:52:903   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(-0.02, 0.00, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:52:912   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:52:923   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:52:939   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:52:953   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:52:962   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:52:979   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:03   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.23)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:24   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:47   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:68   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:90   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:113   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:135   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:157   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:180   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:202   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:225   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:247   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:269   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:293   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:316   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:336   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:358   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:381   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:404   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:426   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:448   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:459   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:471   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:02:53:481   leftController:(0.29, 1.24, -0.07)  rightController:(0.14, 1.27, -0.01)  leftTracker:(0.06, 0.22, -0.29)  rightTracker:(0.25, 0.20, -0.37)  headset:(0.18, 1.68, -0.22)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
