2021.4.11 19:05:39:539   leftController:(0.25, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.19, 1.67, -0.22)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:39:726   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:39:741   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:39:768   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:39:785   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:39:796   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:39:805   leftController:(0.26, 1.28, -0.02)  rightController:(0.06, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:39:814   leftController:(0.26, 1.28, -0.02)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.02, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:39:829   leftController:(0.26, 1.28, -0.02)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:39:839   leftController:(0.26, 1.28, -0.02)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:39:848   leftController:(0.26, 1.28, -0.02)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:39:858   leftController:(0.26, 1.28, -0.02)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.00, 0.00, -0.01)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:39:878   leftController:(0.26, 1.28, -0.02)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:05:39:901   leftController:(0.26, 1.28, -0.02)  rightController:(0.07, 1.21, 0.05)  leftTracker:(0.01, 0.23, -0.10)  rightTracker:(0.24, 0.19, -0.41)  headset:(0.20, 1.67, -0.23)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
