2021.4.11 19:06:29:995   leftController:(0.27, 1.29, 0.04)  rightController:(0.08, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.22, 0.19, -0.40)  headset:(0.16, 1.68, -0.19)  leftControllerVel:(-0.03, 0.02, 0.03)  rightControllerVel:(-0.06, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:156   leftController:(0.26, 1.29, 0.04)  rightController:(0.07, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.01, 0.00, 0.02)  rightControllerVel:(-0.01, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:171   leftController:(0.26, 1.29, 0.04)  rightController:(0.07, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.02, 0.00, 0.02)  rightControllerVel:(-0.01, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:196   leftController:(0.26, 1.29, 0.04)  rightController:(0.07, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.03, -0.01, 0.02)  rightControllerVel:(0.00, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:214   leftController:(0.26, 1.29, 0.04)  rightController:(0.07, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.02, -0.02, 0.02)  rightControllerVel:(0.00, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:221   leftController:(0.26, 1.29, 0.04)  rightController:(0.07, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.02, -0.03, 0.02)  rightControllerVel:(0.01, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:230   leftController:(0.26, 1.29, 0.04)  rightController:(0.07, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.02, -0.03, 0.02)  rightControllerVel:(0.01, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:238   leftController:(0.26, 1.29, 0.04)  rightController:(0.07, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.01, -0.04, 0.02)  rightControllerVel:(0.01, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:247   leftController:(0.26, 1.29, 0.04)  rightController:(0.07, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.01, -0.04, 0.02)  rightControllerVel:(0.01, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:255   leftController:(0.26, 1.29, 0.04)  rightController:(0.07, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.01, -0.04, 0.02)  rightControllerVel:(0.01, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.11 19:06:30:276   leftController:(0.26, 1.29, 0.04)  rightController:(0.07, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.02, -0.05, 0.02)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:298   leftController:(0.26, 1.29, 0.04)  rightController:(0.07, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.02, -0.06, 0.01)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:321   leftController:(0.26, 1.28, 0.04)  rightController:(0.07, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.02, -0.06, 0.01)  rightControllerVel:(0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.11 19:06:30:350   leftController:(0.27, 1.28, 0.05)  rightController:(0.07, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.02, -0.05, 0.00)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:365   leftController:(0.27, 1.28, 0.05)  rightController:(0.07, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.02, -0.05, 0.00)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:388   leftController:(0.27, 1.28, 0.05)  rightController:(0.07, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.03, -0.05, 0.00)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:409   leftController:(0.27, 1.28, 0.05)  rightController:(0.07, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.03, -0.05, 0.00)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:432   leftController:(0.27, 1.28, 0.05)  rightController:(0.07, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.04, -0.06, 0.00)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:456   leftController:(0.27, 1.28, 0.05)  rightController:(0.07, 1.17, 0.09)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.05, -0.06, 0.01)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:06:30:477   leftController:(0.27, 1.28, 0.05)  rightController:(0.07, 1.17, 0.10)  leftTracker:(0.01, 0.23, -0.11)  rightTracker:(0.21, 0.19, -0.40)  headset:(0.16, 1.68, -0.18)  leftControllerVel:(0.05, -0.07, 0.01)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
