2021.4.11 19:09:03:812   leftController:(0.18, 1.35, 0.23)  rightController:(-0.05, 1.05, 0.23)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.02)  leftControllerVel:(0.01, 0.01, -0.01)  rightControllerVel:(-0.03, 0.00, -0.03)  leftTrackerVel:(-0.01, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:03:961   leftController:(0.18, 1.35, 0.22)  rightController:(-0.05, 1.05, 0.23)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.02)  leftControllerVel:(-0.06, -0.01, -0.03)  rightControllerVel:(-0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:03:980   leftController:(0.18, 1.35, 0.22)  rightController:(-0.05, 1.05, 0.23)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.02)  leftControllerVel:(-0.06, -0.02, -0.03)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:06   leftController:(0.18, 1.35, 0.22)  rightController:(-0.05, 1.05, 0.23)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.02)  leftControllerVel:(-0.03, -0.03, -0.04)  rightControllerVel:(0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:30   leftController:(0.18, 1.35, 0.22)  rightController:(-0.05, 1.05, 0.23)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.02)  leftControllerVel:(-0.01, -0.04, -0.04)  rightControllerVel:(0.02, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:38   leftController:(0.18, 1.35, 0.22)  rightController:(-0.05, 1.05, 0.23)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.02)  leftControllerVel:(-0.01, -0.04, -0.04)  rightControllerVel:(0.03, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:47   leftController:(0.18, 1.35, 0.22)  rightController:(-0.05, 1.05, 0.23)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.02)  leftControllerVel:(-0.02, -0.05, -0.04)  rightControllerVel:(0.03, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:56   leftController:(0.18, 1.35, 0.22)  rightController:(-0.05, 1.05, 0.22)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.02)  leftControllerVel:(-0.02, -0.05, -0.04)  rightControllerVel:(0.03, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:64   leftController:(0.18, 1.35, 0.22)  rightController:(-0.05, 1.05, 0.22)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.02)  leftControllerVel:(-0.03, -0.06, -0.04)  rightControllerVel:(0.03, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:74   leftController:(0.18, 1.35, 0.22)  rightController:(-0.05, 1.05, 0.22)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.02)  leftControllerVel:(-0.03, -0.06, -0.03)  rightControllerVel:(0.04, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:95   leftController:(0.18, 1.35, 0.22)  rightController:(-0.05, 1.05, 0.22)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.02)  leftControllerVel:(-0.02, -0.07, -0.03)  rightControllerVel:(0.04, 0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:118   leftController:(0.18, 1.35, 0.22)  rightController:(-0.05, 1.05, 0.22)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.02)  leftControllerVel:(-0.01, -0.09, -0.03)  rightControllerVel:(0.05, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:140   leftController:(0.18, 1.34, 0.22)  rightController:(-0.05, 1.05, 0.22)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.02)  leftControllerVel:(-0.01, -0.10, -0.03)  rightControllerVel:(0.05, 0.00, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:167   leftController:(0.17, 1.34, 0.22)  rightController:(-0.05, 1.05, 0.22)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.02)  leftControllerVel:(-0.02, -0.11, -0.03)  rightControllerVel:(0.05, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:185   leftController:(0.17, 1.34, 0.21)  rightController:(-0.05, 1.05, 0.22)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.02)  leftControllerVel:(-0.03, -0.12, -0.03)  rightControllerVel:(0.05, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:206   leftController:(0.17, 1.34, 0.21)  rightController:(-0.04, 1.05, 0.22)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.02)  leftControllerVel:(-0.03, -0.12, -0.03)  rightControllerVel:(0.04, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:228   leftController:(0.17, 1.33, 0.21)  rightController:(-0.04, 1.05, 0.22)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.03)  leftControllerVel:(-0.02, -0.12, -0.03)  rightControllerVel:(0.03, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:251   leftController:(0.17, 1.33, 0.21)  rightController:(-0.04, 1.05, 0.22)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.03)  leftControllerVel:(0.00, -0.11, -0.03)  rightControllerVel:(0.03, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:273   leftController:(0.17, 1.33, 0.21)  rightController:(-0.04, 1.05, 0.22)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.03)  leftControllerVel:(0.01, -0.10, -0.03)  rightControllerVel:(0.03, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:296   leftController:(0.17, 1.33, 0.21)  rightController:(-0.04, 1.05, 0.22)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.03)  leftControllerVel:(0.00, -0.10, -0.03)  rightControllerVel:(0.02, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 19:09:04:324   leftController:(0.17, 1.32, 0.21)  rightController:(-0.04, 1.05, 0.22)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.03)  leftControllerVel:(0.00, -0.10, -0.03)  rightControllerVel:(0.02, -0.01, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:340   leftController:(0.17, 1.32, 0.21)  rightController:(-0.04, 1.05, 0.22)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.03)  leftControllerVel:(0.00, -0.10, -0.03)  rightControllerVel:(0.01, -0.01, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:362   leftController:(0.17, 1.32, 0.21)  rightController:(-0.04, 1.05, 0.22)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.03)  leftControllerVel:(0.01, -0.09, -0.03)  rightControllerVel:(0.01, -0.01, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:388   leftController:(0.17, 1.32, 0.21)  rightController:(-0.04, 1.05, 0.21)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.03)  leftControllerVel:(0.01, -0.07, -0.03)  rightControllerVel:(0.00, -0.01, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 19:09:04:407   leftController:(0.17, 1.32, 0.21)  rightController:(-0.04, 1.05, 0.21)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.03)  leftControllerVel:(0.01, -0.06, -0.03)  rightControllerVel:(0.00, -0.01, -0.03)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:429   leftController:(0.17, 1.32, 0.21)  rightController:(-0.04, 1.05, 0.21)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.03)  leftControllerVel:(0.00, -0.05, -0.03)  rightControllerVel:(-0.01, 0.00, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:452   leftController:(0.17, 1.31, 0.21)  rightController:(-0.04, 1.05, 0.21)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.03)  leftControllerVel:(-0.01, -0.05, -0.03)  rightControllerVel:(-0.01, 0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:483   leftController:(0.17, 1.31, 0.21)  rightController:(-0.04, 1.05, 0.21)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.03)  leftControllerVel:(-0.02, -0.06, -0.03)  rightControllerVel:(-0.03, 0.01, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:496   leftController:(0.17, 1.31, 0.21)  rightController:(-0.04, 1.05, 0.21)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.03)  leftControllerVel:(-0.02, -0.06, -0.03)  rightControllerVel:(-0.03, 0.02, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:519   leftController:(0.17, 1.31, 0.20)  rightController:(-0.04, 1.05, 0.21)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.03)  leftControllerVel:(-0.02, -0.06, -0.03)  rightControllerVel:(-0.03, 0.03, -0.02)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:541   leftController:(0.17, 1.31, 0.20)  rightController:(-0.04, 1.05, 0.21)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.03)  leftControllerVel:(-0.01, -0.06, -0.03)  rightControllerVel:(-0.03, 0.03, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:566   leftController:(0.17, 1.31, 0.20)  rightController:(-0.04, 1.05, 0.21)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.03)  leftControllerVel:(-0.01, -0.07, -0.02)  rightControllerVel:(-0.04, 0.04, -0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:09:04:586   leftController:(0.17, 1.31, 0.20)  rightController:(-0.05, 1.05, 0.21)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.04)  leftControllerVel:(-0.02, -0.07, -0.02)  rightControllerVel:(-0.04, 0.04, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
2021.4.11 19:09:04:597   leftController:(0.17, 1.30, 0.20)  rightController:(-0.05, 1.05, 0.21)  leftTracker:(-0.05, 0.21, -0.07)  rightTracker:(0.15, 0.20, -0.14)  headset:(0.04, 1.69, -0.04)  leftControllerVel:(-0.02, -0.07, -0.02)  rightControllerVel:(-0.04, 0.05, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, 0.00)
