2021.4.11 19:24:45:68   leftController:(0.37, 1.28, 0.18)  rightController:(0.17, 1.24, 0.22)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.06)  leftControllerVel:(0.01, -0.03, 0.02)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:228   leftController:(0.37, 1.28, 0.18)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.06)  leftControllerVel:(-0.02, -0.04, 0.03)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:242   leftController:(0.37, 1.28, 0.18)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.06)  leftControllerVel:(-0.01, -0.05, 0.02)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:269   leftController:(0.37, 1.28, 0.18)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.06)  leftControllerVel:(-0.01, -0.04, 0.02)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:284   leftController:(0.37, 1.28, 0.18)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.06)  leftControllerVel:(-0.02, -0.03, 0.02)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:293   leftController:(0.37, 1.28, 0.18)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.06)  leftControllerVel:(-0.02, -0.02, 0.02)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:303   leftController:(0.37, 1.27, 0.18)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.06)  leftControllerVel:(-0.02, -0.02, 0.01)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:312   leftController:(0.37, 1.27, 0.18)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.06)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:320   leftController:(0.37, 1.27, 0.18)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.06)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:328   leftController:(0.37, 1.27, 0.18)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.06)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:350   leftController:(0.37, 1.27, 0.18)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.06)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:372   leftController:(0.37, 1.27, 0.18)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.06)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:395   leftController:(0.37, 1.27, 0.18)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.06)  leftControllerVel:(0.02, 0.00, 0.01)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:421   leftController:(0.37, 1.27, 0.18)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.06)  leftControllerVel:(0.03, -0.01, 0.01)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:439   leftController:(0.37, 1.27, 0.18)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.06)  leftControllerVel:(0.03, -0.02, 0.01)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:461   leftController:(0.37, 1.27, 0.19)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.06)  leftControllerVel:(0.03, -0.03, 0.02)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:484   leftController:(0.37, 1.27, 0.19)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.06)  leftControllerVel:(0.03, -0.04, 0.02)  rightControllerVel:(0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:506   leftController:(0.37, 1.27, 0.19)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.06)  leftControllerVel:(0.03, -0.05, 0.02)  rightControllerVel:(0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:528   leftController:(0.37, 1.27, 0.19)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.06)  leftControllerVel:(0.03, -0.05, 0.02)  rightControllerVel:(0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:551   leftController:(0.37, 1.27, 0.19)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.06)  leftControllerVel:(0.03, -0.05, 0.02)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:578   leftController:(0.37, 1.27, 0.19)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.61, -0.06)  leftControllerVel:(0.02, -0.07, 0.02)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:595   leftController:(0.37, 1.27, 0.19)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.06)  leftControllerVel:(0.02, -0.08, 0.03)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:618   leftController:(0.37, 1.26, 0.19)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.06)  leftControllerVel:(0.02, -0.09, 0.03)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:640   leftController:(0.38, 1.26, 0.19)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.02, -0.11, 0.04)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:662   leftController:(0.38, 1.26, 0.19)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.02, -0.14, 0.04)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:687   leftController:(0.38, 1.26, 0.19)  rightController:(0.17, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.02, -0.13, 0.04)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:707   leftController:(0.38, 1.25, 0.19)  rightController:(0.18, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.01, -0.11, 0.03)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:736   leftController:(0.38, 1.25, 0.19)  rightController:(0.18, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.01, -0.10, 0.02)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:752   leftController:(0.38, 1.25, 0.19)  rightController:(0.18, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.01, -0.09, 0.02)  rightControllerVel:(0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:774   leftController:(0.38, 1.25, 0.19)  rightController:(0.18, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.00, -0.07, 0.02)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:796   leftController:(0.38, 1.25, 0.19)  rightController:(0.18, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.00, -0.06, 0.02)  rightControllerVel:(0.00, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:819   leftController:(0.38, 1.25, 0.19)  rightController:(0.18, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.00, -0.04, 0.02)  rightControllerVel:(0.00, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:45:841   leftController:(0.38, 1.24, 0.19)  rightController:(0.18, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.00, -0.03, 0.02)  rightControllerVel:(0.00, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
