2021.4.11 19:27:33:886   leftController:(0.35, 1.31, 0.26)  rightController:(0.13, 1.31, 0.17)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.28, 1.60, -0.04)  leftControllerVel:(-0.03, 0.00, 0.01)  rightControllerVel:(-0.01, 0.00, 0.02)  leftTrackerVel:(0.00, -0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:50   leftController:(0.35, 1.31, 0.26)  rightController:(0.13, 1.32, 0.17)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.60, -0.04)  leftControllerVel:(-0.03, 0.01, -0.02)  rightControllerVel:(-0.02, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:63   leftController:(0.35, 1.31, 0.26)  rightController:(0.13, 1.32, 0.17)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.60, -0.04)  leftControllerVel:(-0.02, 0.02, -0.02)  rightControllerVel:(-0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:88   leftController:(0.35, 1.31, 0.26)  rightController:(0.13, 1.32, 0.17)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.60, -0.04)  leftControllerVel:(-0.02, 0.03, -0.03)  rightControllerVel:(-0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:104   leftController:(0.34, 1.31, 0.26)  rightController:(0.13, 1.32, 0.17)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.60, -0.04)  leftControllerVel:(-0.02, 0.02, -0.03)  rightControllerVel:(0.00, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:116   leftController:(0.34, 1.31, 0.25)  rightController:(0.13, 1.32, 0.17)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.60, -0.04)  leftControllerVel:(-0.03, 0.02, -0.03)  rightControllerVel:(0.00, 0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:132   leftController:(0.34, 1.31, 0.25)  rightController:(0.13, 1.32, 0.17)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.60, -0.04)  leftControllerVel:(-0.02, 0.01, -0.03)  rightControllerVel:(0.01, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:141   leftController:(0.34, 1.31, 0.25)  rightController:(0.13, 1.32, 0.17)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.60, -0.04)  leftControllerVel:(-0.01, 0.00, -0.03)  rightControllerVel:(0.01, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:150   leftController:(0.34, 1.31, 0.25)  rightController:(0.13, 1.32, 0.17)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.60, -0.04)  leftControllerVel:(0.00, -0.01, -0.03)  rightControllerVel:(0.01, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:159   leftController:(0.34, 1.31, 0.25)  rightController:(0.13, 1.32, 0.17)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.60, -0.04)  leftControllerVel:(0.00, -0.01, -0.03)  rightControllerVel:(0.02, 0.00, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:27:34:170   leftController:(0.34, 1.31, 0.25)  rightController:(0.13, 1.32, 0.17)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.60, -0.04)  leftControllerVel:(0.02, -0.02, -0.03)  rightControllerVel:(0.02, 0.00, 0.03)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
