2021.4.11 19:30:03:662   leftController:(0.45, 1.24, 0.19)  rightController:(0.21, 1.06, 0.18)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.35, 1.59, -0.07)  leftControllerVel:(0.02, 0.02, 0.00)  rightControllerVel:(0.01, 0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:30:03:815   leftController:(0.45, 1.24, 0.19)  rightController:(0.22, 1.07, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.35, 1.59, -0.08)  leftControllerVel:(0.02, 0.00, 0.00)  rightControllerVel:(0.10, 0.07, 0.06)  leftTrackerVel:(0.00, -0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.11 19:30:03:834   leftController:(0.45, 1.24, 0.19)  rightController:(0.23, 1.07, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.35, 1.59, -0.08)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.10, 0.07, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.11 19:30:03:864   leftController:(0.45, 1.24, 0.19)  rightController:(0.23, 1.08, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.35, 1.59, -0.08)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(0.10, 0.05, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:30:03:876   leftController:(0.45, 1.24, 0.19)  rightController:(0.23, 1.08, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.35, 1.59, -0.08)  leftControllerVel:(-0.02, 0.01, -0.02)  rightControllerVel:(0.10, 0.05, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.11 19:30:03:885   leftController:(0.45, 1.24, 0.19)  rightController:(0.23, 1.08, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.35, 1.59, -0.08)  leftControllerVel:(-0.02, 0.01, -0.02)  rightControllerVel:(0.09, 0.04, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:30:03:894   leftController:(0.45, 1.24, 0.19)  rightController:(0.23, 1.08, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.35, 1.59, -0.08)  leftControllerVel:(-0.02, 0.01, 0.00)  rightControllerVel:(0.09, 0.04, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:30:03:903   leftController:(0.45, 1.24, 0.19)  rightController:(0.23, 1.08, 0.19)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.35, 1.59, -0.08)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(0.09, 0.03, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:30:03:911   leftController:(0.45, 1.24, 0.19)  rightController:(0.23, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.35, 1.59, -0.08)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(0.08, 0.03, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:30:03:923   leftController:(0.45, 1.24, 0.19)  rightController:(0.23, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.35, 1.59, -0.08)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(0.08, 0.02, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:30:03:946   leftController:(0.45, 1.24, 0.19)  rightController:(0.24, 1.08, 0.20)  leftTracker:(0.13, 0.18, -0.11)  rightTracker:(0.39, 0.19, -0.15)  headset:(0.35, 1.59, -0.08)  leftControllerVel:(-0.01, 0.00, -0.02)  rightControllerVel:(0.06, 0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
