2021.4.11 20:02:22:550   leftController:(0.37, 1.15, 0.21)  rightController:(0.14, 1.32, 0.14)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.22, 1.71, -0.06)  leftControllerVel:(0.01, -0.01, -0.01)  rightControllerVel:(-0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:22:722   leftController:(0.37, 1.15, 0.21)  rightController:(0.14, 1.32, 0.14)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(-0.03, 0.02, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:22:738   leftController:(0.37, 1.15, 0.21)  rightController:(0.14, 1.32, 0.14)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(-0.02, 0.02, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:22:772   leftController:(0.37, 1.15, 0.21)  rightController:(0.14, 1.32, 0.14)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:22:785   leftController:(0.37, 1.15, 0.21)  rightController:(0.14, 1.32, 0.14)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:22:794   leftController:(0.37, 1.15, 0.21)  rightController:(0.14, 1.32, 0.14)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:22:803   leftController:(0.37, 1.15, 0.21)  rightController:(0.14, 1.32, 0.14)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:22:814   leftController:(0.37, 1.15, 0.21)  rightController:(0.14, 1.32, 0.14)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:22:823   leftController:(0.37, 1.15, 0.21)  rightController:(0.14, 1.32, 0.14)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:22:832   leftController:(0.37, 1.15, 0.21)  rightController:(0.14, 1.32, 0.14)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:22:852   leftController:(0.37, 1.15, 0.21)  rightController:(0.14, 1.32, 0.13)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:22:875   leftController:(0.37, 1.16, 0.21)  rightController:(0.14, 1.32, 0.13)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.00, 0.01, -0.01)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:22:898   leftController:(0.37, 1.16, 0.21)  rightController:(0.14, 1.32, 0.13)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.00, 0.01, -0.01)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:22:924   leftController:(0.37, 1.16, 0.21)  rightController:(0.14, 1.32, 0.13)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.01, 0.01, -0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:22:942   leftController:(0.37, 1.16, 0.21)  rightController:(0.14, 1.32, 0.13)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.01, 0.01, -0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:22:964   leftController:(0.37, 1.16, 0.21)  rightController:(0.14, 1.32, 0.13)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.01, 0.01, -0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:22:988   leftController:(0.37, 1.16, 0.21)  rightController:(0.14, 1.32, 0.13)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.01, 0.01, -0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:02:23:09   leftController:(0.37, 1.16, 0.21)  rightController:(0.14, 1.32, 0.13)  leftTracker:(0.06, 0.20, -0.13)  rightTracker:(0.35, 0.16, -0.12)  headset:(0.21, 1.72, -0.06)  leftControllerVel:(0.01, 0.01, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
