2021.4.11 20:04:59:571   leftController:(0.28, 1.21, 0.03)  rightController:(-0.12, 1.33, -0.01)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.25)  leftControllerVel:(-0.01, 0.02, -0.02)  rightControllerVel:(-0.03, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.11 20:04:59:737   leftController:(0.27, 1.21, 0.03)  rightController:(-0.12, 1.33, -0.01)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.25)  leftControllerVel:(-0.02, 0.00, 0.00)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.11 20:04:59:750   leftController:(0.27, 1.21, 0.03)  rightController:(-0.12, 1.33, -0.01)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.25)  leftControllerVel:(-0.04, 0.00, 0.00)  rightControllerVel:(0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.11 20:04:59:773   leftController:(0.27, 1.21, 0.03)  rightController:(-0.12, 1.33, -0.01)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.25)  leftControllerVel:(-0.03, 0.00, 0.01)  rightControllerVel:(0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.11 20:04:59:796   leftController:(0.27, 1.21, 0.03)  rightController:(-0.12, 1.33, -0.01)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.25)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.11 20:04:59:806   leftController:(0.27, 1.21, 0.03)  rightController:(-0.11, 1.33, -0.01)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.25)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:04:59:816   leftController:(0.27, 1.21, 0.03)  rightController:(-0.11, 1.33, -0.01)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.25)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:04:59:826   leftController:(0.27, 1.21, 0.03)  rightController:(-0.11, 1.33, -0.01)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.25)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.03, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.11 20:04:59:835   leftController:(0.27, 1.21, 0.03)  rightController:(-0.11, 1.33, -0.01)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.25)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.03, -0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.11 20:04:59:844   leftController:(0.27, 1.21, 0.03)  rightController:(-0.11, 1.33, -0.01)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.25)  leftControllerVel:(0.02, 0.01, 0.00)  rightControllerVel:(0.03, -0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:04:59:853   leftController:(0.27, 1.21, 0.03)  rightController:(-0.11, 1.33, -0.01)  leftTracker:(-0.05, 0.21, -0.30)  rightTracker:(0.30, 0.16, -0.29)  headset:(0.12, 1.71, -0.25)  leftControllerVel:(0.02, 0.01, 0.00)  rightControllerVel:(0.03, -0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
