2021.4.11 20:07:29:604   leftController:(0.32, 1.19, -0.01)  rightController:(-0.03, 1.14, -0.03)  leftTracker:(-0.03, 0.21, -0.37)  rightTracker:(0.36, 0.16, -0.38)  headset:(0.16, 1.70, -0.27)  leftControllerVel:(0.04, 0.02, -0.01)  rightControllerVel:(-0.01, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:29:771   leftController:(0.32, 1.19, -0.01)  rightController:(-0.03, 1.14, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.36, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.03, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:29:788   leftController:(0.32, 1.19, -0.01)  rightController:(-0.03, 1.14, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.36, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(-0.01, 0.01, -0.03)  rightControllerVel:(0.03, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:29:825   leftController:(0.32, 1.19, -0.01)  rightController:(-0.02, 1.14, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.36, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.00, 0.01, -0.04)  rightControllerVel:(0.04, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:29:836   leftController:(0.32, 1.19, -0.01)  rightController:(-0.02, 1.14, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.36, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.00, 0.01, -0.04)  rightControllerVel:(0.04, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:29:848   leftController:(0.32, 1.19, -0.01)  rightController:(-0.02, 1.14, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.36, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.00, 0.01, -0.04)  rightControllerVel:(0.04, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:29:858   leftController:(0.32, 1.19, -0.01)  rightController:(-0.02, 1.14, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.36, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.01, 0.01, -0.04)  rightControllerVel:(0.05, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:29:868   leftController:(0.32, 1.19, -0.01)  rightController:(-0.02, 1.14, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.36, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.01, 0.01, -0.04)  rightControllerVel:(0.05, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:29:878   leftController:(0.32, 1.19, -0.02)  rightController:(-0.02, 1.14, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.36, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.01, 0.00, -0.04)  rightControllerVel:(0.05, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:29:891   leftController:(0.32, 1.19, -0.02)  rightController:(-0.02, 1.14, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.36, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.01, 0.00, -0.04)  rightControllerVel:(0.05, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 20:07:29:902   leftController:(0.32, 1.19, -0.02)  rightController:(-0.02, 1.14, -0.03)  leftTracker:(-0.03, 0.21, -0.38)  rightTracker:(0.36, 0.16, -0.37)  headset:(0.15, 1.70, -0.27)  leftControllerVel:(0.01, 0.00, -0.04)  rightControllerVel:(0.04, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
