2021.4.11 10:23:46:03   leftController:(-0.04, 1.19, 0.10)  rightController:(0.16, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.02, 1.71, -0.15)  leftControllerVel:(0.02, -0.01, -0.03)  rightControllerVel:(0.03, 0.05, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:157   leftController:(-0.04, 1.19, 0.09)  rightController:(0.17, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.02, 1.71, -0.16)  leftControllerVel:(0.01, 0.00, -0.03)  rightControllerVel:(0.05, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 10:23:46:166   leftController:(-0.04, 1.19, 0.09)  rightController:(0.17, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.02, 1.71, -0.16)  leftControllerVel:(0.01, 0.00, -0.04)  rightControllerVel:(0.05, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:177   leftController:(-0.04, 1.19, 0.09)  rightController:(0.17, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.02, 1.71, -0.16)  leftControllerVel:(0.01, 0.00, -0.04)  rightControllerVel:(0.05, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, -0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:187   leftController:(-0.04, 1.19, 0.09)  rightController:(0.17, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.02, 1.71, -0.16)  leftControllerVel:(0.01, 0.00, -0.04)  rightControllerVel:(0.05, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:197   leftController:(-0.04, 1.19, 0.09)  rightController:(0.17, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.03, 1.71, -0.16)  leftControllerVel:(0.01, 0.00, -0.04)  rightControllerVel:(0.04, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:203   leftController:(-0.04, 1.19, 0.09)  rightController:(0.18, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.03, 1.71, -0.16)  leftControllerVel:(0.01, 0.00, -0.04)  rightControllerVel:(0.04, -0.03, 0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:208   leftController:(-0.04, 1.19, 0.09)  rightController:(0.18, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.03, 1.71, -0.16)  leftControllerVel:(0.01, -0.01, -0.04)  rightControllerVel:(0.04, -0.03, 0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:218   leftController:(-0.04, 1.19, 0.09)  rightController:(0.18, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.03, 1.71, -0.16)  leftControllerVel:(0.01, -0.01, -0.04)  rightControllerVel:(0.04, -0.04, 0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:230   leftController:(-0.04, 1.19, 0.09)  rightController:(0.18, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.03, 1.71, -0.16)  leftControllerVel:(0.01, -0.01, -0.05)  rightControllerVel:(0.04, -0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:242   leftController:(-0.04, 1.19, 0.09)  rightController:(0.18, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.03, 1.71, -0.16)  leftControllerVel:(0.00, -0.01, -0.05)  rightControllerVel:(0.04, -0.04, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:252   leftController:(-0.04, 1.19, 0.09)  rightController:(0.18, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.03, 1.71, -0.16)  leftControllerVel:(0.00, -0.01, -0.05)  rightControllerVel:(0.04, -0.05, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:263   leftController:(-0.04, 1.19, 0.09)  rightController:(0.18, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.03, 1.71, -0.16)  leftControllerVel:(0.00, -0.01, -0.05)  rightControllerVel:(0.05, -0.05, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:274   leftController:(-0.04, 1.19, 0.09)  rightController:(0.18, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.03, 1.71, -0.16)  leftControllerVel:(-0.01, 0.00, -0.06)  rightControllerVel:(0.05, -0.05, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:286   leftController:(-0.04, 1.19, 0.09)  rightController:(0.18, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.03, 1.71, -0.17)  leftControllerVel:(-0.01, 0.01, -0.06)  rightControllerVel:(0.06, -0.04, 0.00)  leftTrackerVel:(0.00, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 10:23:46:296   leftController:(-0.04, 1.19, 0.09)  rightController:(0.18, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.03, 1.71, -0.17)  leftControllerVel:(-0.02, 0.02, -0.06)  rightControllerVel:(0.05, -0.04, 0.00)  leftTrackerVel:(0.00, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 10:23:46:307   leftController:(-0.04, 1.19, 0.09)  rightController:(0.18, 1.13, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.03, 1.71, -0.17)  leftControllerVel:(-0.03, 0.04, -0.07)  rightControllerVel:(0.05, -0.04, -0.01)  leftTrackerVel:(0.00, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 10:23:46:319   leftController:(-0.04, 1.19, 0.09)  rightController:(0.18, 1.12, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.03, 1.71, -0.17)  leftControllerVel:(-0.03, 0.06, -0.07)  rightControllerVel:(0.03, -0.04, -0.01)  leftTrackerVel:(0.00, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 10:23:46:330   leftController:(-0.04, 1.19, 0.08)  rightController:(0.18, 1.12, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.03, 1.71, -0.17)  leftControllerVel:(-0.03, 0.07, -0.07)  rightControllerVel:(0.02, -0.04, -0.01)  leftTrackerVel:(0.00, 0.02, 0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 10:23:46:341   leftController:(-0.04, 1.19, 0.08)  rightController:(0.18, 1.12, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.03, 1.71, -0.17)  leftControllerVel:(-0.03, 0.08, -0.07)  rightControllerVel:(0.00, -0.04, -0.01)  leftTrackerVel:(0.00, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.11 10:23:46:352   leftController:(-0.04, 1.19, 0.08)  rightController:(0.18, 1.12, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.04, 1.71, -0.17)  leftControllerVel:(-0.03, 0.08, -0.07)  rightControllerVel:(-0.01, -0.03, -0.01)  leftTrackerVel:(0.00, 0.02, 0.01)  rightTrackerVel:(0.00, 0.00, -0.02)
2021.4.11 10:23:46:364   leftController:(-0.04, 1.19, 0.08)  rightController:(0.18, 1.12, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.04, 1.71, -0.17)  leftControllerVel:(-0.03, 0.08, -0.07)  rightControllerVel:(-0.02, -0.03, -0.01)  leftTrackerVel:(0.00, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, -0.02)
2021.4.11 10:23:46:375   leftController:(-0.04, 1.19, 0.08)  rightController:(0.18, 1.12, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.04, 1.71, -0.17)  leftControllerVel:(-0.04, 0.07, -0.06)  rightControllerVel:(-0.03, -0.02, -0.02)  leftTrackerVel:(0.01, 0.02, 0.02)  rightTrackerVel:(0.00, 0.00, -0.02)
2021.4.11 10:23:46:386   leftController:(-0.04, 1.19, 0.08)  rightController:(0.18, 1.12, 0.01)  leftTracker:(-0.23, 0.20, -0.26)  rightTracker:(0.05, 0.20, -0.27)  headset:(0.04, 1.71, -0.17)  leftControllerVel:(-0.04, 0.07, -0.06)  rightControllerVel:(-0.04, -0.01, -0.02)  leftTrackerVel:(0.01, 0.03, 0.02)  rightTrackerVel:(0.00, 0.00, -0.02)
