2021.4.12 11:13:09:650   leftController:(0.31, 1.11, 0.13)  rightController:(-0.05, 1.41, 0.02)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.06, 0.01, 0.00)  rightControllerVel:(-0.02, -0.03, -0.03)  leftTrackerVel:(0.00, 0.00, -0.02)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:09:801   leftController:(0.32, 1.12, 0.13)  rightController:(-0.05, 1.40, 0.02)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.03, 0.05, 0.01)  rightControllerVel:(0.02, -0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:09:817   leftController:(0.32, 1.12, 0.13)  rightController:(-0.05, 1.40, 0.02)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.04, 0.05, 0.00)  rightControllerVel:(0.01, -0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:09:835   leftController:(0.32, 1.12, 0.13)  rightController:(-0.05, 1.40, 0.02)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.03, 0.05, -0.01)  rightControllerVel:(0.01, -0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:09:849   leftController:(0.32, 1.12, 0.13)  rightController:(-0.05, 1.40, 0.02)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.01, 0.05, -0.01)  rightControllerVel:(0.01, -0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:09:856   leftController:(0.32, 1.12, 0.13)  rightController:(-0.05, 1.40, 0.02)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.01, 0.05, -0.02)  rightControllerVel:(0.01, -0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:09:862   leftController:(0.32, 1.12, 0.13)  rightController:(-0.05, 1.40, 0.02)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.01, 0.05, -0.02)  rightControllerVel:(0.01, -0.03, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:09:867   leftController:(0.32, 1.12, 0.13)  rightController:(-0.05, 1.40, 0.02)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.01, 0.05, -0.02)  rightControllerVel:(0.01, -0.03, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:09:875   leftController:(0.32, 1.12, 0.13)  rightController:(-0.05, 1.40, 0.02)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.02, 0.05, -0.02)  rightControllerVel:(0.01, -0.03, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:09:886   leftController:(0.32, 1.12, 0.13)  rightController:(-0.05, 1.40, 0.02)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.02, 0.05, -0.02)  rightControllerVel:(0.01, -0.03, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 11:13:09:899   leftController:(0.32, 1.12, 0.13)  rightController:(-0.05, 1.40, 0.02)  leftTracker:(0.11, 0.19, -0.11)  rightTracker:(0.38, 0.19, -0.13)  headset:(0.20, 1.60, -0.07)  leftControllerVel:(0.02, 0.05, -0.02)  rightControllerVel:(0.01, -0.03, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
