2021.4.12 11:36:38:797   leftController:(0.27, 1.02, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(0.00, 0.08, -0.05)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:38:982   leftController:(0.27, 1.02, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(0.01, -0.03, 0.02)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:38:998   leftController:(0.27, 1.02, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(0.00, -0.03, 0.01)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:15   leftController:(0.27, 1.02, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:33   leftController:(0.27, 1.02, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(0.00, -0.01, -0.01)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:39   leftController:(0.27, 1.02, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(0.00, -0.01, -0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:45   leftController:(0.27, 1.02, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(0.00, -0.01, -0.01)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:56   leftController:(0.27, 1.02, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(0.00, -0.01, -0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:66   leftController:(0.27, 1.02, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.42, -0.29)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:78   leftController:(0.27, 1.02, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.42, -0.29)  leftControllerVel:(0.00, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:101   leftController:(0.27, 1.02, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.42, -0.29)  leftControllerVel:(-0.01, -0.01, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:122   leftController:(0.27, 1.02, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.42, -0.29)  leftControllerVel:(-0.01, -0.01, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:146   leftController:(0.27, 1.02, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.42, -0.29)  leftControllerVel:(-0.01, -0.01, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:169   leftController:(0.27, 1.02, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.42, -0.29)  leftControllerVel:(-0.01, -0.01, -0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:190   leftController:(0.27, 1.02, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.16, 1.42, -0.29)  leftControllerVel:(-0.01, -0.01, -0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:212   leftController:(0.27, 1.01, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.02, -0.02, -0.01)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:234   leftController:(0.27, 1.01, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.03, -0.02, -0.02)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:261   leftController:(0.27, 1.01, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.03, -0.03, -0.02)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:280   leftController:(0.27, 1.01, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.04, -0.05, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
2021.4.12 11:36:39:302   leftController:(0.27, 1.01, -0.05)  rightController:(0.01, 1.01, -0.07)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.15, 1.42, -0.29)  leftControllerVel:(-0.05, -0.07, -0.02)  rightControllerVel:(0.01, 0.01, 0.00)  leftTrackerVel:(0.04, -0.07, -0.01)  rightTrackerVel:(-0.34, 0.02, 0.00)
