2021.4.12 15:01:54:731   leftController:(0.50, 1.25, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(-0.02, 0.01, -0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:54:741   leftController:(0.50, 1.25, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(-0.01, 0.02, -0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:54:775   leftController:(0.50, 1.25, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.00, 0.05, -0.03)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:54:940   leftController:(0.49, 1.25, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:54:955   leftController:(0.49, 1.25, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:54:970   leftController:(0.49, 1.25, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:54:977   leftController:(0.49, 1.25, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:54:985   leftController:(0.49, 1.25, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:54:993   leftController:(0.49, 1.25, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:54:999   leftController:(0.49, 1.25, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(-0.02, 0.01, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.12 15:01:55:08   leftController:(0.49, 1.25, -0.01)  rightController:(0.33, 1.17, 0.04)  leftTracker:(0.09, 0.21, -0.24)  rightTracker:(0.42, 0.23, -0.30)  headset:(0.39, 1.75, -0.19)  leftControllerVel:(-0.02, 0.02, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
