2021.4.13 11:13:51:29   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.22, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.02, 0.01, 0.01)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:36   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.22, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.21)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.02, 0.02, 0.00)  rightControllerVel:(0.01, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:46   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.22, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.02, 0.02, 0.00)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:57   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.22, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:86   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.22, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.01, 0.02, 0.00)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:249   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.01, 0.01, 0.00)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:261   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:301   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:309   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:314   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:13:51:319   leftController:(-0.15, 1.20, 0.05)  rightController:(0.04, 1.23, 0.05)  leftTracker:(-0.03, 0.20, -0.27)  rightTracker:(-0.22, 0.21, -0.20)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
