2021.4.13 11:16:20:985   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.70, -0.01)  leftControllerVel:(0.00, 0.01, 0.02)  rightControllerVel:(0.03, 0.01, 0.02)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.00, -0.01, 0.00)
2021.4.13 11:16:21:122   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(0.00, -0.01, 0.02)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.01, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.13 11:16:21:132   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.32, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(0.00, -0.01, 0.02)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, -0.01, 0.00)
2021.4.13 11:16:21:168   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.33, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.13 11:16:21:176   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.33, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.13 11:16:21:181   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.33, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, -0.01, 0.00)
2021.4.13 11:16:21:186   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.33, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, -0.01, 0.00)
2021.4.13 11:16:21:192   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.33, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(-0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, -0.01, 0.00)
2021.4.13 11:16:21:202   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.33, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(-0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, -0.01, 0.00)
2021.4.13 11:16:21:213   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.33, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(0.00, -0.02, 0.01)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, -0.01, 0.00)
2021.4.13 11:16:21:236   leftController:(-0.02, 1.20, 0.25)  rightController:(0.31, 1.22, 0.31)  leftTracker:(0.33, 0.20, 0.04)  rightTracker:(0.13, 0.20, -0.06)  headset:(0.14, 1.69, -0.01)  leftControllerVel:(0.00, -0.02, 0.01)  rightControllerVel:(0.00, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, -0.01, 0.00)
