2021.4.13 11:19:16:776   leftController:(0.04, 1.19, -0.01)  rightController:(0.32, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.16, 1.70, -0.28)  leftControllerVel:(0.00, 0.02, -0.01)  rightControllerVel:(-0.01, 0.01, 0.00)  leftTrackerVel:(0.00, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:16:927   leftController:(0.04, 1.19, -0.01)  rightController:(0.32, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(0.01, 0.03, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:16:939   leftController:(0.04, 1.19, -0.01)  rightController:(0.32, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(0.00, 0.03, -0.01)  leftTrackerVel:(0.00, 0.01, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:16:969   leftController:(0.04, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.04, 0.01, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:16:976   leftController:(0.04, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.04, 0.00, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:16:981   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.05, -0.01, -0.01)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:16:986   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.05, -0.01, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:16:992   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.04, -0.01, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:03   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.04, -0.01, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:14   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:25   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:50   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(-0.01, 0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:58   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(-0.01, 0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:62   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(-0.01, 0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:70   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(-0.02, 0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:81   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(-0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:92   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.02, 0.01, 0.00)  leftTrackerVel:(0.00, 0.01, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.13 11:19:17:104   leftController:(0.03, 1.19, -0.01)  rightController:(0.31, 1.20, 0.00)  leftTracker:(0.35, 0.20, -0.27)  rightTracker:(0.11, 0.21, -0.35)  headset:(0.15, 1.70, -0.28)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
