2021.4.14 11:12:34:405   leftController:(0.54, 1.27, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(0.03, 0.06, -0.01)  rightControllerVel:(0.00, 0.01, 0.02)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:561   leftController:(0.54, 1.26, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(0.00, -0.05, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:573   leftController:(0.54, 1.26, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.02, -0.06, 0.00)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:586   leftController:(0.53, 1.26, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.04, -0.09, -0.01)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:595   leftController:(0.53, 1.26, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.05, -0.10, -0.01)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:606   leftController:(0.53, 1.26, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.06, -0.12, -0.02)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:614   leftController:(0.53, 1.26, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.06, -0.12, -0.02)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:625   leftController:(0.53, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.06, -0.13, -0.03)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:630   leftController:(0.53, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.05, -0.13, -0.03)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:637   leftController:(0.53, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.05, -0.13, -0.03)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:642   leftController:(0.53, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.05, -0.13, -0.04)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:664   leftController:(0.53, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.05, -0.13, -0.05)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:687   leftController:(0.53, 1.25, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.06, -0.12, -0.06)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
2021.4.14 11:12:34:710   leftController:(0.53, 1.24, 0.27)  rightController:(0.36, 1.16, 0.23)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.43, 1.84, 0.07)  leftControllerVel:(-0.08, -0.11, -0.07)  rightControllerVel:(0.00, -0.02, 0.00)  leftTrackerVel:(-6.12, -4.67, 16.46)  rightTrackerVel:(0.06, -0.09, -0.06)
