2021.4.15 19:47:55:546   leftController:(0.32, 1.26, 0.35)  rightController:(0.20, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.23, 1.63, 0.12)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(-0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:55:556   leftController:(0.32, 1.26, 0.35)  rightController:(0.20, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.23, 1.63, 0.12)  leftControllerVel:(0.01, 0.01, 0.02)  rightControllerVel:(-0.01, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:55:566   leftController:(0.32, 1.26, 0.35)  rightController:(0.20, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.23, 1.63, 0.12)  leftControllerVel:(0.01, -0.01, 0.02)  rightControllerVel:(-0.01, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:55:578   leftController:(0.32, 1.26, 0.35)  rightController:(0.20, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.23, 1.63, 0.12)  leftControllerVel:(-0.01, 0.00, 0.02)  rightControllerVel:(-0.01, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:55:588   leftController:(0.32, 1.26, 0.35)  rightController:(0.20, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.23, 1.63, 0.12)  leftControllerVel:(-0.01, 0.00, 0.02)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:55:602   leftController:(0.32, 1.26, 0.35)  rightController:(0.20, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.23, 1.63, 0.12)  leftControllerVel:(-0.02, 0.00, 0.02)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:55:614   leftController:(0.32, 1.26, 0.35)  rightController:(0.20, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.23, 1.63, 0.12)  leftControllerVel:(-0.03, 0.00, 0.02)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:55:669   leftController:(0.32, 1.26, 0.35)  rightController:(0.20, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.23, 1.63, 0.12)  leftControllerVel:(-0.04, 0.01, 0.02)  rightControllerVel:(-0.01, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:55:897   leftController:(0.32, 1.26, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.22, 1.63, 0.12)  leftControllerVel:(-0.02, -0.02, 0.00)  rightControllerVel:(-0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:55:910   leftController:(0.32, 1.26, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.22, 1.63, 0.12)  leftControllerVel:(-0.02, -0.02, 0.00)  rightControllerVel:(-0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:55:927   leftController:(0.32, 1.26, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.02, -0.03, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:47:55:939   leftController:(0.32, 1.25, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.02, -0.03, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:47:55:944   leftController:(0.32, 1.25, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.02, -0.03, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:47:55:967   leftController:(0.32, 1.25, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.02, -0.03, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:47:55:988   leftController:(0.32, 1.25, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.02, -0.03, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:47:56:11   leftController:(0.32, 1.25, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.02, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:47:56:33   leftController:(0.32, 1.25, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:47:56:56   leftController:(0.32, 1.25, 0.35)  rightController:(0.19, 1.25, 0.37)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.07)  headset:(0.22, 1.63, 0.13)  leftControllerVel:(-0.01, -0.01, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
