2021.4.15 19:48:24:357   leftController:(0.34, 1.26, 0.37)  rightController:(0.17, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.08)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.25, 1.63, 0.12)  leftControllerVel:(-0.01, -0.01, -0.01)  rightControllerVel:(-0.03, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:511   leftController:(0.34, 1.26, 0.37)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(0.00, -0.04, 0.01)  rightControllerVel:(-0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:522   leftController:(0.34, 1.26, 0.37)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(0.00, -0.04, 0.01)  rightControllerVel:(-0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.01)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:541   leftController:(0.34, 1.26, 0.37)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.01, -0.04, 0.01)  rightControllerVel:(-0.01, 0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:550   leftController:(0.34, 1.26, 0.37)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.01, -0.04, 0.01)  rightControllerVel:(-0.01, 0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:560   leftController:(0.34, 1.26, 0.37)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(-0.01, -0.04, 0.00)  rightControllerVel:(-0.01, 0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:568   leftController:(0.34, 1.26, 0.37)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(0.00, -0.04, 0.01)  rightControllerVel:(-0.01, 0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:574   leftController:(0.34, 1.26, 0.37)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(0.00, -0.03, 0.01)  rightControllerVel:(-0.01, 0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:583   leftController:(0.34, 1.25, 0.37)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(0.00, -0.03, 0.00)  rightControllerVel:(-0.01, 0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:593   leftController:(0.34, 1.25, 0.37)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(0.01, -0.03, 0.00)  rightControllerVel:(-0.01, 0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:48:24:605   leftController:(0.34, 1.25, 0.37)  rightController:(0.16, 1.20, 0.39)  leftTracker:(0.10, 0.20, 0.07)  rightTracker:(0.34, 0.21, 0.08)  headset:(0.24, 1.63, 0.12)  leftControllerVel:(0.01, -0.03, -0.01)  rightControllerVel:(-0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
