2021.4.15 19:50:53:472   leftController:(0.33, 1.37, 0.38)  rightController:(0.10, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.22, 1.64, 0.09)  leftControllerVel:(0.04, 0.00, -0.01)  rightControllerVel:(0.01, 0.03, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.15 19:50:53:618   leftController:(0.33, 1.36, 0.38)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.22, 1.63, 0.09)  leftControllerVel:(0.01, -0.03, 0.00)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:629   leftController:(0.33, 1.36, 0.38)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.22, 1.63, 0.09)  leftControllerVel:(0.01, -0.03, 0.00)  rightControllerVel:(0.02, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:651   leftController:(0.33, 1.36, 0.38)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.22, 1.63, 0.09)  leftControllerVel:(0.00, -0.03, 0.00)  rightControllerVel:(0.02, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:659   leftController:(0.33, 1.36, 0.38)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.22, 1.63, 0.09)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.02, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:664   leftController:(0.33, 1.36, 0.38)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.22, 1.63, 0.09)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.02, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:669   leftController:(0.33, 1.36, 0.38)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.22, 1.63, 0.09)  leftControllerVel:(0.00, -0.01, -0.01)  rightControllerVel:(0.02, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:677   leftController:(0.33, 1.36, 0.38)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.22, 1.63, 0.09)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.02, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:688   leftController:(0.33, 1.36, 0.38)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.22, 1.63, 0.09)  leftControllerVel:(0.00, 0.01, -0.02)  rightControllerVel:(0.02, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:700   leftController:(0.33, 1.36, 0.38)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.22, 1.63, 0.09)  leftControllerVel:(0.00, 0.02, -0.02)  rightControllerVel:(0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.15 19:50:53:711   leftController:(0.33, 1.36, 0.38)  rightController:(0.11, 1.18, 0.38)  leftTracker:(0.09, 0.20, 0.07)  rightTracker:(0.34, 0.20, 0.08)  headset:(0.22, 1.63, 0.09)  leftControllerVel:(-0.01, 0.02, -0.02)  rightControllerVel:(0.01, 0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
