2021.4.16 15:11:24:261   leftController:(0.06, 1.25, 0.13)  rightController:(-0.12, 1.29, 0.13)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.23)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.04, 0.02, 0.00)  rightControllerVel:(0.03, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, -0.01, 0.00)
2021.4.16 15:11:24:271   leftController:(0.06, 1.25, 0.13)  rightController:(-0.12, 1.29, 0.13)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.04, 0.02, 0.00)  rightControllerVel:(0.03, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.4.16 15:11:24:279   leftController:(0.06, 1.25, 0.13)  rightController:(-0.12, 1.29, 0.13)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.04, 0.02, 0.00)  rightControllerVel:(0.03, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, -0.01, 0.00)
2021.4.16 15:11:24:290   leftController:(0.06, 1.25, 0.13)  rightController:(-0.12, 1.29, 0.13)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.05, 0.02, 0.00)  rightControllerVel:(0.03, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, -0.01, 0.00)
2021.4.16 15:11:24:302   leftController:(0.06, 1.25, 0.13)  rightController:(-0.12, 1.29, 0.13)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.05, 0.02, 0.01)  rightControllerVel:(0.03, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:327   leftController:(0.06, 1.25, 0.13)  rightController:(-0.11, 1.29, 0.13)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.06, 0.01, 0.01)  rightControllerVel:(0.02, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, 0.00)
2021.4.16 15:11:24:527   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.29, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.01, 0.01, -0.01)  rightControllerVel:(0.03, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:544   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.29, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.01, 0.01, -0.01)  rightControllerVel:(0.03, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:565   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.29, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.00, 0.01, -0.01)  rightControllerVel:(0.03, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:11:24:575   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.29, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.00, 0.01, -0.01)  rightControllerVel:(0.03, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
2021.4.16 15:11:24:581   leftController:(0.07, 1.25, 0.13)  rightController:(-0.11, 1.30, 0.14)  leftTracker:(-0.06, 0.16, -0.24)  rightTracker:(0.20, 0.18, -0.24)  headset:(0.04, 1.58, -0.20)  leftControllerVel:(0.00, 0.01, -0.01)  rightControllerVel:(0.03, 0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, -0.01)
