2021.4.16 15:35:40:259   leftController:(-0.27, 1.33, 0.02)  rightController:(0.06, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.08, 1.57, -0.24)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.07, 0.05, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:419   leftController:(-0.27, 1.33, 0.02)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.08, 1.57, -0.24)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(0.03, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:430   leftController:(-0.27, 1.33, 0.02)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.08, 1.57, -0.24)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.03, -0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:448   leftController:(-0.27, 1.33, 0.02)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.08, 1.57, -0.24)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.04, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:459   leftController:(-0.27, 1.33, 0.02)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.08, 1.57, -0.24)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(0.05, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:466   leftController:(-0.27, 1.33, 0.02)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.08, 1.57, -0.24)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.05, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:471   leftController:(-0.27, 1.33, 0.02)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.08, 1.57, -0.24)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.05, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:476   leftController:(-0.27, 1.33, 0.02)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.08, 1.57, -0.24)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.04, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:485   leftController:(-0.27, 1.33, 0.02)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.08, 1.57, -0.24)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.03, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:497   leftController:(-0.27, 1.33, 0.02)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.08, 1.57, -0.24)  leftControllerVel:(0.01, 0.00, 0.01)  rightControllerVel:(0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:507   leftController:(-0.27, 1.33, 0.02)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.08, 1.57, -0.24)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:518   leftController:(-0.27, 1.33, 0.02)  rightController:(0.07, 1.12, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.08, 1.57, -0.24)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:529   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.12, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.08, 1.57, -0.24)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:540   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.12, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.08, 1.57, -0.24)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:552   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.01, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:563   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:574   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.01, 0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:586   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.00, 0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:597   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.00, 0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 15:35:40:608   leftController:(-0.27, 1.33, 0.03)  rightController:(0.07, 1.13, -0.03)  leftTracker:(-0.21, 0.22, -0.26)  rightTracker:(-0.05, 0.18, -0.32)  headset:(-0.07, 1.57, -0.24)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.00, 0.03, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
