2021.4.16 16:35:14:717   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.09, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.38, 1.57, -0.19)  leftControllerVel:(0.03, 0.01, 0.00)  rightControllerVel:(0.05, 0.06, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:14:736   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.09, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.38, 1.57, -0.19)  leftControllerVel:(0.03, 0.00, 0.00)  rightControllerVel:(0.05, 0.05, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:14:900   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.09, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.38, 1.58, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:14:910   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.09, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.38, 1.57, -0.19)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.01, -0.02, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:14:930   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.09, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.38, 1.57, -0.19)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:14:940   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.09, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.38, 1.57, -0.19)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:14:948   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.09, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.38, 1.57, -0.19)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:14:954   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.09, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.38, 1.57, -0.19)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(0.01, -0.02, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:14:963   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.09, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(-0.01, 0.01, -0.01)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:14:975   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.09, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(0.02, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:35:14:989   leftController:(0.23, 1.15, 0.04)  rightController:(0.49, 1.09, -0.02)  leftTracker:(0.33, 0.19, -0.26)  rightTracker:(0.44, 0.18, -0.26)  headset:(0.39, 1.57, -0.19)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(0.03, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
