2021.4.16 16:57:35:617   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:35:762   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:35:775   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(-0.01, 0.00, 0.01)  rightControllerVel:(0.00, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:35:799   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:35:809   leftController:(0.10, 1.27, 0.23)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:35:815   leftController:(0.10, 1.27, 0.23)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:35:820   leftController:(0.10, 1.27, 0.23)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:35:830   leftController:(0.10, 1.27, 0.23)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:35:841   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.02, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:35:853   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.38, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.16 16:57:35:864   leftController:(0.10, 1.27, 0.22)  rightController:(0.38, 1.07, 0.11)  leftTracker:(0.09, 0.18, -0.09)  rightTracker:(0.39, 0.17, -0.08)  headset:(0.23, 1.69, -0.01)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
