2021.4.17 16:03:35:908   leftController:(0.36, 1.16, 0.14)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.10)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(-0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:74   leftController:(0.36, 1.16, 0.14)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.09)  leftControllerVel:(0.00, -0.01, -0.01)  rightControllerVel:(0.00, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:88   leftController:(0.36, 1.16, 0.14)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.09)  leftControllerVel:(0.00, -0.01, -0.01)  rightControllerVel:(0.00, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:115   leftController:(0.36, 1.16, 0.14)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.09)  leftControllerVel:(0.02, -0.01, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:127   leftController:(0.36, 1.16, 0.14)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.09)  leftControllerVel:(0.02, -0.01, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:132   leftController:(0.36, 1.16, 0.14)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.09)  leftControllerVel:(0.02, -0.01, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:149   leftController:(0.36, 1.16, 0.14)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.09)  leftControllerVel:(0.01, -0.01, -0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:171   leftController:(0.36, 1.16, 0.14)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.09)  leftControllerVel:(0.00, 0.00, -0.02)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:193   leftController:(0.36, 1.16, 0.14)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.09)  leftControllerVel:(0.01, 0.00, -0.02)  rightControllerVel:(0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:217   leftController:(0.36, 1.16, 0.14)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.09)  leftControllerVel:(0.01, 0.00, -0.02)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.17 16:03:36:239   leftController:(0.36, 1.16, 0.14)  rightController:(0.17, 1.21, 0.15)  leftTracker:(0.17, 0.21, -0.14)  rightTracker:(0.47, 0.18, -0.14)  headset:(0.31, 1.65, -0.09)  leftControllerVel:(0.02, 0.00, -0.01)  rightControllerVel:(0.01, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
