2021.4.17 16:31:06:02   leftController:(0.07, 1.10, 0.02)  rightController:(-0.09, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.51, -0.21)  leftControllerVel:(0.02, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:157   leftController:(0.07, 1.09, 0.02)  rightController:(-0.09, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.51, -0.21)  leftControllerVel:(0.01, -0.01, -0.02)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:172   leftController:(0.07, 1.09, 0.02)  rightController:(-0.09, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.51, -0.21)  leftControllerVel:(0.01, -0.01, -0.02)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:195   leftController:(0.07, 1.09, 0.02)  rightController:(-0.09, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.51, -0.21)  leftControllerVel:(0.01, -0.02, -0.02)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:207   leftController:(0.07, 1.09, 0.02)  rightController:(-0.09, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.51, -0.21)  leftControllerVel:(0.01, -0.03, -0.02)  rightControllerVel:(0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:213   leftController:(0.07, 1.09, 0.02)  rightController:(-0.09, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.51, -0.21)  leftControllerVel:(0.01, -0.03, -0.03)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:220   leftController:(0.07, 1.09, 0.02)  rightController:(-0.09, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.51, -0.21)  leftControllerVel:(0.01, -0.03, -0.03)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:229   leftController:(0.07, 1.09, 0.02)  rightController:(-0.09, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.51, -0.21)  leftControllerVel:(0.02, -0.03, -0.03)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:239   leftController:(0.07, 1.09, 0.02)  rightController:(-0.09, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.51, -0.21)  leftControllerVel:(0.02, -0.03, -0.02)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:250   leftController:(0.08, 1.09, 0.02)  rightController:(-0.09, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.51, -0.21)  leftControllerVel:(0.02, -0.03, -0.02)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
2021.4.17 16:31:06:273   leftController:(0.08, 1.09, 0.02)  rightController:(-0.09, 1.11, -0.01)  leftTracker:(-0.09, 0.17, -0.27)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.51, -0.21)  leftControllerVel:(0.04, -0.03, -0.02)  rightControllerVel:(0.02, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.02, 0.02)
