2021.4.19 10:12:40:674   leftController:(0.22, 1.20, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.19, 1.51, 0.29)  leftControllerVel:(-0.04, -0.01, 0.00)  rightControllerVel:(-0.03, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:40:686   leftController:(0.22, 1.20, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.19, 1.51, 0.29)  leftControllerVel:(-0.03, -0.01, 0.00)  rightControllerVel:(-0.02, 0.00, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:40:695   leftController:(0.22, 1.20, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.19, 1.51, 0.29)  leftControllerVel:(-0.03, -0.01, 0.00)  rightControllerVel:(-0.03, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:40:709   leftController:(0.22, 1.20, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.19, 1.51, 0.29)  leftControllerVel:(-0.02, 0.00, 0.00)  rightControllerVel:(-0.03, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:40:716   leftController:(0.22, 1.20, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.19, 1.51, 0.29)  leftControllerVel:(-0.02, 0.00, 0.00)  rightControllerVel:(-0.03, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:40:740   leftController:(0.22, 1.20, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.19, 1.51, 0.29)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.03, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:40:933   leftController:(0.22, 1.20, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(-0.02, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:40:947   leftController:(0.22, 1.20, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(-0.01, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:40:958   leftController:(0.22, 1.19, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:40:969   leftController:(0.22, 1.20, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:40:978   leftController:(0.22, 1.19, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:40:985   leftController:(0.22, 1.19, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:40:990   leftController:(0.22, 1.19, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:01   leftController:(0.22, 1.20, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:12   leftController:(0.22, 1.19, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.01, 0.00, 0.00)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:23   leftController:(0.22, 1.19, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:35   leftController:(0.22, 1.19, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:46   leftController:(0.22, 1.19, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:57   leftController:(0.22, 1.19, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:12:41:69   leftController:(0.22, 1.19, 0.49)  rightController:(0.11, 1.20, 0.50)  leftTracker:(0.08, 0.17, 0.21)  rightTracker:(0.34, 0.18, 0.23)  headset:(0.18, 1.51, 0.29)  leftControllerVel:(0.01, -0.01, 0.00)  rightControllerVel:(0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
