2021.4.19 10:36:13:181   leftController:(0.09, 1.13, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.03, 1.55, 0.06)  leftControllerVel:(0.08, 0.02, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:334   leftController:(0.10, 1.14, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.03, 1.55, 0.06)  leftControllerVel:(0.02, 0.08, 0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:347   leftController:(0.10, 1.14, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.03, 1.55, 0.06)  leftControllerVel:(0.02, 0.09, 0.01)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:363   leftController:(0.10, 1.14, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.03, 1.55, 0.06)  leftControllerVel:(0.02, 0.11, 0.00)  rightControllerVel:(0.00, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:373   leftController:(0.10, 1.14, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.03, 1.55, 0.06)  leftControllerVel:(0.01, 0.11, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:380   leftController:(0.10, 1.14, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.03, 1.55, 0.06)  leftControllerVel:(0.01, 0.12, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:386   leftController:(0.10, 1.14, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.03, 1.55, 0.06)  leftControllerVel:(0.01, 0.12, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:394   leftController:(0.10, 1.14, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.03, 1.55, 0.06)  leftControllerVel:(0.01, 0.12, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:399   leftController:(0.10, 1.14, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.01, 0.13, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:409   leftController:(0.10, 1.14, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.01, 0.13, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 10:36:13:420   leftController:(0.10, 1.15, 0.20)  rightController:(-0.10, 1.15, 0.28)  leftTracker:(-0.17, 0.16, -0.01)  rightTracker:(0.08, 0.16, -0.03)  headset:(-0.04, 1.55, 0.06)  leftControllerVel:(0.01, 0.14, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
