2021.4.19 15:31:07:584   leftController:(0.25, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.10, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.16, 1.52, -0.10)  leftControllerVel:(0.00, 0.03, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:07:661   leftController:(0.25, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.10, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.16, 1.52, -0.10)  leftControllerVel:(-0.04, 0.02, -0.01)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:07:849   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.10, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.16, 1.52, -0.10)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:07:863   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.10, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.16, 1.52, -0.10)  leftControllerVel:(0.00, 0.00, 0.01)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:07:888   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.10, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.16, 1.52, -0.10)  leftControllerVel:(0.00, 0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:07:906   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.10, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.16, 1.52, -0.10)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:07:912   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.10, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.16, 1.52, -0.10)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:07:929   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.10, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.16, 1.52, -0.10)  leftControllerVel:(-0.01, 0.01, 0.02)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:07:952   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.10, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.16, 1.52, -0.10)  leftControllerVel:(0.01, 0.00, 0.02)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:07:977   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.10, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.16, 1.52, -0.10)  leftControllerVel:(0.03, -0.01, 0.03)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:07:997   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.10, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.16, 1.52, -0.10)  leftControllerVel:(0.03, -0.02, 0.03)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.01)
2021.4.19 15:31:08:19   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.10, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.16, 1.52, -0.10)  leftControllerVel:(0.03, -0.02, 0.02)  rightControllerVel:(-0.01, -0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:42   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.16, 1.52, -0.10)  leftControllerVel:(0.02, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:64   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.16, 1.52, -0.10)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:86   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.10, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.16, 1.52, -0.10)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:108   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.16, 1.52, -0.10)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:131   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.02, 0.00, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:155   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.03, 0.00, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(-0.01, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:184   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.03, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:31:08:199   leftController:(0.24, 0.93, 0.12)  rightController:(0.02, 0.66, 0.05)  leftTracker:(0.09, 0.12, -0.09)  rightTracker:(0.21, 0.11, -0.14)  headset:(0.15, 1.52, -0.10)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
