2021.4.19 15:52:59:977   leftController:(0.08, 1.16, 0.42)  rightController:(-0.24, 1.16, 0.45)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.00, 0.03, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:134   leftController:(0.09, 1.16, 0.42)  rightController:(-0.24, 1.16, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.00, -0.02, -0.03)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:153   leftController:(0.09, 1.16, 0.42)  rightController:(-0.24, 1.16, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.02, -0.03, -0.03)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:179   leftController:(0.09, 1.16, 0.42)  rightController:(-0.24, 1.16, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.03, -0.03, -0.02)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:194   leftController:(0.09, 1.16, 0.42)  rightController:(-0.24, 1.16, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.03, -0.04, -0.02)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:199   leftController:(0.09, 1.16, 0.42)  rightController:(-0.24, 1.16, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.03, -0.04, -0.02)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:204   leftController:(0.09, 1.16, 0.42)  rightController:(-0.24, 1.16, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.03, -0.04, -0.02)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:212   leftController:(0.09, 1.16, 0.42)  rightController:(-0.24, 1.16, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.03, -0.04, -0.02)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:224   leftController:(0.09, 1.16, 0.41)  rightController:(-0.24, 1.16, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.03, -0.04, -0.02)  rightControllerVel:(0.00, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:234   leftController:(0.09, 1.16, 0.41)  rightController:(-0.24, 1.16, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.04, -0.04, -0.02)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.19 15:53:00:259   leftController:(0.09, 1.16, 0.41)  rightController:(-0.24, 1.16, 0.46)  leftTracker:(-0.20, 0.17, 0.11)  rightTracker:(0.11, 0.18, 0.14)  headset:(-0.03, 1.57, 0.22)  leftControllerVel:(0.05, -0.04, -0.02)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
