2021.4.4 15:36:57:139   leftController:(0.00, 1.12, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.44, 0.14)
2021.4.4 15:36:57:306   leftController:(0.00, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:327   leftController:(0.00, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:345   leftController:(0.00, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:360   leftController:(0.00, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:374   leftController:(0.00, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:383   leftController:(0.00, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:392   leftController:(0.00, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:401   leftController:(0.00, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:408   leftController:(0.00, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:423   leftController:(0.00, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:444   leftController:(0.00, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:466   leftController:(0.00, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:488   leftController:(0.00, 1.12, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:512   leftController:(0.00, 1.12, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:533   leftController:(0.00, 1.12, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:558   leftController:(0.00, 1.12, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:577   leftController:(0.00, 1.12, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:601   leftController:(0.00, 1.12, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:622   leftController:(0.00, 1.12, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.13)
2021.4.4 15:36:57:646   leftController:(0.00, 1.12, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:667   leftController:(0.00, 1.12, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:691   leftController:(0.00, 1.12, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:712   leftController:(0.00, 1.12, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:735   leftController:(0.00, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:756   leftController:(0.00, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:778   leftController:(0.00, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:801   leftController:(-0.01, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:823   leftController:(-0.01, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:846   leftController:(-0.01, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:869   leftController:(-0.01, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:890   leftController:(-0.01, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:913   leftController:(-0.01, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:924   leftController:(-0.01, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:938   leftController:(-0.02, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:947   leftController:(-0.02, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:957   leftController:(-0.02, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:970   leftController:(-0.02, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:982   leftController:(-0.02, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.12, 1.46, 0.12)
2021.4.4 15:36:57:991   leftController:(-0.02, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:01   leftController:(-0.02, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:13   leftController:(-0.02, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:26   leftController:(-0.02, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:39   leftController:(-0.02, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:48   leftController:(-0.02, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:62   leftController:(-0.02, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:72   leftController:(-0.03, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:81   leftController:(-0.03, 1.11, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:91   leftController:(-0.03, 1.10, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:102   leftController:(-0.03, 1.10, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
2021.4.4 15:36:58:114   leftController:(-0.03, 1.10, 0.38)  rightController:(0.22, 1.05, 0.31)  leftTracker:(-0.13, 0.09, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.11, 1.46, 0.12)
