2021.4.4 15:40:49:298   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.15)  leftTracker:(-0.28, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.02)
2021.4.4 15:40:49:460   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.15)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.02)
2021.4.4 15:40:49:472   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.15)  leftTracker:(-0.27, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.02)
2021.4.4 15:40:49:488   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.15)  leftTracker:(-0.27, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.02)
2021.4.4 15:40:49:509   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.15)  leftTracker:(-0.27, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.02)
2021.4.4 15:40:49:518   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.15)  leftTracker:(-0.27, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.02)
2021.4.4 15:40:49:529   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.15)  leftTracker:(-0.27, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.02)
2021.4.4 15:40:49:544   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.15)  leftTracker:(-0.27, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.02)
2021.4.4 15:40:49:553   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.15)  leftTracker:(-0.27, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.02)
2021.4.4 15:40:49:561   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.15)  leftTracker:(-0.27, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.02)
2021.4.4 15:40:49:574   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.15)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.02)
2021.4.4 15:40:49:596   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.15)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.02)
2021.4.4 15:40:49:622   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.15)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.47, -0.03)
2021.4.4 15:40:49:644   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.16)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.47, -0.03)
2021.4.4 15:40:49:663   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.16)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:49:685   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.16)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.47, -0.03)
2021.4.4 15:40:49:709   leftController:(-0.15, 0.69, 0.09)  rightController:(0.11, 1.03, 0.16)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.47, -0.03)
2021.4.4 15:40:49:731   leftController:(-0.15, 0.69, 0.09)  rightController:(0.11, 1.03, 0.16)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.47, -0.03)
2021.4.4 15:40:49:752   leftController:(-0.15, 0.69, 0.09)  rightController:(0.11, 1.03, 0.16)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.47, -0.03)
2021.4.4 15:40:49:775   leftController:(-0.15, 0.69, 0.09)  rightController:(0.11, 1.03, 0.16)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.47, -0.03)
2021.4.4 15:40:49:799   leftController:(-0.15, 0.69, 0.09)  rightController:(0.11, 1.03, 0.16)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.47, -0.03)
2021.4.4 15:40:49:821   leftController:(-0.15, 0.69, 0.09)  rightController:(0.11, 1.03, 0.16)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.47, -0.03)
2021.4.4 15:40:49:841   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.16)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.47, -0.03)
2021.4.4 15:40:49:864   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.16)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.47, -0.03)
2021.4.4 15:40:49:887   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.16)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.47, -0.03)
2021.4.4 15:40:49:909   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.16)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.47, -0.03)
2021.4.4 15:40:49:933   leftController:(-0.15, 0.69, 0.09)  rightController:(0.10, 1.03, 0.16)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.47, -0.03)
2021.4.4 15:40:49:953   leftController:(-0.15, 0.69, 0.10)  rightController:(0.10, 1.03, 0.16)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.47, -0.03)
2021.4.4 15:40:49:977   leftController:(-0.15, 0.69, 0.10)  rightController:(0.10, 1.02, 0.16)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.47, -0.03)
2021.4.4 15:40:49:998   leftController:(-0.15, 0.69, 0.10)  rightController:(0.10, 1.02, 0.16)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.47, -0.03)
2021.4.4 15:40:50:24   leftController:(-0.15, 0.70, 0.10)  rightController:(0.10, 1.02, 0.17)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.47, -0.03)
2021.4.4 15:40:50:42   leftController:(-0.15, 0.70, 0.10)  rightController:(0.10, 1.02, 0.17)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:54   leftController:(-0.15, 0.70, 0.10)  rightController:(0.10, 1.01, 0.17)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:65   leftController:(-0.15, 0.70, 0.10)  rightController:(0.10, 1.01, 0.17)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:78   leftController:(-0.15, 0.70, 0.10)  rightController:(0.10, 1.01, 0.17)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:90   leftController:(-0.15, 0.70, 0.10)  rightController:(0.10, 1.01, 0.17)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:99   leftController:(-0.15, 0.70, 0.10)  rightController:(0.10, 1.01, 0.17)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:111   leftController:(-0.15, 0.70, 0.10)  rightController:(0.10, 1.01, 0.17)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:124   leftController:(-0.16, 0.70, 0.10)  rightController:(0.10, 1.01, 0.17)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:132   leftController:(-0.16, 0.70, 0.10)  rightController:(0.10, 1.01, 0.17)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:143   leftController:(-0.16, 0.70, 0.10)  rightController:(0.10, 1.01, 0.17)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:155   leftController:(-0.16, 0.70, 0.10)  rightController:(0.10, 1.01, 0.17)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:170   leftController:(-0.16, 0.70, 0.10)  rightController:(0.10, 1.01, 0.17)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:178   leftController:(-0.16, 0.70, 0.11)  rightController:(0.10, 1.00, 0.17)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:188   leftController:(-0.16, 0.70, 0.11)  rightController:(0.10, 1.00, 0.17)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:201   leftController:(-0.16, 0.70, 0.11)  rightController:(0.10, 1.00, 0.17)  leftTracker:(-0.27, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:215   leftController:(-0.16, 0.70, 0.11)  rightController:(0.10, 1.00, 0.17)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:224   leftController:(-0.16, 0.70, 0.11)  rightController:(0.10, 1.00, 0.18)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:232   leftController:(-0.16, 0.70, 0.11)  rightController:(0.10, 1.00, 0.18)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:244   leftController:(-0.17, 0.70, 0.11)  rightController:(0.10, 1.00, 0.18)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:256   leftController:(-0.17, 0.71, 0.12)  rightController:(0.10, 1.00, 0.18)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:269   leftController:(-0.17, 0.71, 0.12)  rightController:(0.10, 1.00, 0.18)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:278   leftController:(-0.17, 0.71, 0.12)  rightController:(0.10, 1.00, 0.18)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:289   leftController:(-0.17, 0.71, 0.12)  rightController:(0.10, 1.00, 0.18)  leftTracker:(-0.27, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:303   leftController:(-0.18, 0.72, 0.13)  rightController:(0.10, 0.99, 0.18)  leftTracker:(-0.27, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.04, 1.46, -0.03)
2021.4.4 15:40:50:318   leftController:(-0.18, 0.72, 0.13)  rightController:(0.10, 0.99, 0.18)  leftTracker:(-0.27, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.46, -0.03)
2021.4.4 15:40:50:330   leftController:(-0.18, 0.72, 0.14)  rightController:(0.10, 0.99, 0.18)  leftTracker:(-0.27, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.46, -0.03)
2021.4.4 15:40:50:340   leftController:(-0.18, 0.73, 0.14)  rightController:(0.10, 0.99, 0.18)  leftTracker:(-0.27, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.46, -0.03)
2021.4.4 15:40:50:351   leftController:(-0.19, 0.73, 0.15)  rightController:(0.10, 0.99, 0.19)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.46, -0.03)
2021.4.4 15:40:50:362   leftController:(-0.19, 0.74, 0.16)  rightController:(0.10, 0.99, 0.19)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.46, -0.03)
2021.4.4 15:40:50:371   leftController:(-0.19, 0.74, 0.16)  rightController:(0.10, 0.99, 0.19)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.46, -0.03)
2021.4.4 15:40:50:379   leftController:(-0.20, 0.75, 0.16)  rightController:(0.10, 0.99, 0.19)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.46, -0.03)
2021.4.4 15:40:50:390   leftController:(-0.20, 0.76, 0.17)  rightController:(0.10, 0.99, 0.19)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.46, -0.03)
2021.4.4 15:40:50:405   leftController:(-0.20, 0.76, 0.18)  rightController:(0.10, 0.99, 0.19)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.46, -0.03)
2021.4.4 15:40:50:414   leftController:(-0.21, 0.77, 0.18)  rightController:(0.10, 1.00, 0.19)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.46, -0.03)
2021.4.4 15:40:50:423   leftController:(-0.21, 0.78, 0.19)  rightController:(0.10, 1.00, 0.19)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.47, -0.03)
2021.4.4 15:40:50:435   leftController:(-0.22, 0.79, 0.19)  rightController:(0.10, 1.00, 0.19)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.47, -0.03)
2021.4.4 15:40:50:448   leftController:(-0.22, 0.80, 0.20)  rightController:(0.10, 1.00, 0.20)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.47, -0.03)
2021.4.4 15:40:50:459   leftController:(-0.22, 0.81, 0.20)  rightController:(0.10, 1.00, 0.20)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.47, -0.02)
2021.4.4 15:40:50:468   leftController:(-0.23, 0.81, 0.21)  rightController:(0.10, 1.01, 0.20)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.47, -0.02)
2021.4.4 15:40:50:479   leftController:(-0.23, 0.82, 0.21)  rightController:(0.09, 1.01, 0.20)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.47, -0.02)
2021.4.4 15:40:50:491   leftController:(-0.24, 0.84, 0.22)  rightController:(0.09, 1.01, 0.20)  leftTracker:(-0.27, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.47, -0.02)
2021.4.4 15:40:50:504   leftController:(-0.24, 0.85, 0.23)  rightController:(0.09, 1.02, 0.20)  leftTracker:(-0.26, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.47, -0.02)
2021.4.4 15:40:50:513   leftController:(-0.24, 0.86, 0.23)  rightController:(0.09, 1.02, 0.20)  leftTracker:(-0.26, 0.11, -0.02)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.47, -0.02)
2021.4.4 15:40:50:526   leftController:(-0.25, 0.87, 0.23)  rightController:(0.09, 1.02, 0.20)  leftTracker:(-0.26, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.47, -0.02)
2021.4.4 15:40:50:538   leftController:(-0.25, 0.89, 0.24)  rightController:(0.09, 1.03, 0.20)  leftTracker:(-0.26, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.47, -0.02)
2021.4.4 15:40:50:547   leftController:(-0.26, 0.90, 0.24)  rightController:(0.09, 1.03, 0.21)  leftTracker:(-0.26, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.05, 1.47, -0.02)
2021.4.4 15:40:50:558   leftController:(-0.26, 0.91, 0.25)  rightController:(0.09, 1.03, 0.21)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.06, 1.47, -0.02)
2021.4.4 15:40:50:568   leftController:(-0.26, 0.92, 0.25)  rightController:(0.09, 1.04, 0.21)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.06, 1.47, -0.02)
2021.4.4 15:40:50:581   leftController:(-0.27, 0.93, 0.25)  rightController:(0.09, 1.04, 0.21)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.06, 1.47, -0.02)
2021.4.4 15:40:50:595   leftController:(-0.27, 0.95, 0.26)  rightController:(0.09, 1.04, 0.21)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.06, 1.47, -0.02)
2021.4.4 15:40:50:603   leftController:(-0.27, 0.96, 0.26)  rightController:(0.09, 1.04, 0.21)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.06, 1.47, -0.01)
2021.4.4 15:40:50:613   leftController:(-0.27, 0.97, 0.26)  rightController:(0.08, 1.05, 0.21)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.06, 1.47, -0.01)
2021.4.4 15:40:50:632   leftController:(-0.27, 0.99, 0.27)  rightController:(0.08, 1.05, 0.22)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.06, 1.47, -0.01)
2021.4.4 15:40:50:643   leftController:(-0.27, 1.00, 0.27)  rightController:(0.08, 1.05, 0.22)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.06, 1.47, -0.01)
2021.4.4 15:40:50:652   leftController:(-0.28, 1.00, 0.27)  rightController:(0.08, 1.05, 0.22)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.06, 1.47, -0.01)
2021.4.4 15:40:50:660   leftController:(-0.28, 1.01, 0.27)  rightController:(0.08, 1.05, 0.22)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.06, 1.47, -0.01)
2021.4.4 15:40:50:669   leftController:(-0.28, 1.02, 0.27)  rightController:(0.08, 1.05, 0.22)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.47, -0.01)
2021.4.4 15:40:50:680   leftController:(-0.28, 1.02, 0.28)  rightController:(0.08, 1.05, 0.22)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.47, -0.01)
2021.4.4 15:40:50:690   leftController:(-0.28, 1.03, 0.28)  rightController:(0.08, 1.05, 0.22)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.47, -0.01)
2021.4.4 15:40:50:702   leftController:(-0.27, 1.03, 0.28)  rightController:(0.08, 1.05, 0.22)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.47, -0.01)
2021.4.4 15:40:50:716   leftController:(-0.27, 1.04, 0.28)  rightController:(0.08, 1.05, 0.23)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.47, 0.00)
2021.4.4 15:40:50:726   leftController:(-0.27, 1.04, 0.29)  rightController:(0.08, 1.05, 0.23)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.47, 0.00)
2021.4.4 15:40:50:735   leftController:(-0.27, 1.04, 0.29)  rightController:(0.08, 1.05, 0.23)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.47, 0.00)
2021.4.4 15:40:50:746   leftController:(-0.27, 1.05, 0.29)  rightController:(0.08, 1.04, 0.23)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.47, 0.00)
2021.4.4 15:40:50:758   leftController:(-0.27, 1.05, 0.30)  rightController:(0.08, 1.04, 0.23)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.47, 0.00)
2021.4.4 15:40:50:770   leftController:(-0.27, 1.04, 0.30)  rightController:(0.08, 1.04, 0.24)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.47, 0.00)
2021.4.4 15:40:50:784   leftController:(-0.27, 1.04, 0.30)  rightController:(0.08, 1.04, 0.24)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.47, 0.00)
2021.4.4 15:40:50:793   leftController:(-0.27, 1.04, 0.31)  rightController:(0.08, 1.03, 0.24)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.47, 0.00)
2021.4.4 15:40:50:804   leftController:(-0.28, 1.04, 0.31)  rightController:(0.08, 1.03, 0.24)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.47, 0.00)
2021.4.4 15:40:50:815   leftController:(-0.27, 1.03, 0.32)  rightController:(0.08, 1.03, 0.24)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.47, 0.01)
2021.4.4 15:40:50:827   leftController:(-0.28, 1.02, 0.32)  rightController:(0.08, 1.02, 0.25)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.47, 0.01)
2021.4.4 15:40:50:836   leftController:(-0.28, 1.02, 0.32)  rightController:(0.08, 1.02, 0.25)  leftTracker:(-0.25, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.47, 0.01)
2021.4.4 15:40:50:847   leftController:(-0.28, 1.01, 0.32)  rightController:(0.08, 1.01, 0.25)  leftTracker:(-0.26, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.47, 0.01)
2021.4.4 15:40:50:858   leftController:(-0.28, 1.01, 0.33)  rightController:(0.08, 1.01, 0.25)  leftTracker:(-0.26, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.47, 0.01)
2021.4.4 15:40:50:871   leftController:(-0.28, 1.00, 0.33)  rightController:(0.08, 1.00, 0.25)  leftTracker:(-0.26, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.47, 0.01)
2021.4.4 15:40:50:885   leftController:(-0.29, 0.99, 0.33)  rightController:(0.08, 0.99, 0.26)  leftTracker:(-0.26, 0.10, -0.01)  rightTracker:(-0.02, 0.12, -0.02)  headset:(-0.09, 1.47, 0.01)
