2021.4.4 16:17:30:559   leftController:(0.03, 0.94, 0.37)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:30:704   leftController:(0.03, 0.94, 0.37)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:30:725   leftController:(0.03, 0.94, 0.37)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:30:750   leftController:(0.03, 0.94, 0.37)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:30:764   leftController:(0.03, 0.94, 0.37)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:30:773   leftController:(0.03, 0.94, 0.37)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:30:782   leftController:(0.03, 0.94, 0.37)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:30:791   leftController:(0.03, 0.94, 0.37)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:30:802   leftController:(0.03, 0.94, 0.37)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:30:815   leftController:(0.03, 0.94, 0.37)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
2021.4.4 16:17:30:825   leftController:(0.03, 0.94, 0.37)  rightController:(-0.22, 0.92, 0.41)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.39, 0.17)
