2021.4.4 16:38:01:874   leftController:(-0.13, 1.22, 0.45)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.23, 1.76, 0.19)
2021.4.4 16:38:02:36   leftController:(-0.14, 1.21, 0.45)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.75, 0.19)
2021.4.4 16:38:02:61   leftController:(-0.14, 1.21, 0.45)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.75, 0.19)
2021.4.4 16:38:02:81   leftController:(-0.14, 1.21, 0.45)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.75, 0.19)
2021.4.4 16:38:02:94   leftController:(-0.14, 1.21, 0.45)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.75, 0.19)
2021.4.4 16:38:02:103   leftController:(-0.14, 1.21, 0.45)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.75, 0.19)
2021.4.4 16:38:02:111   leftController:(-0.14, 1.21, 0.45)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.76, 0.19)
2021.4.4 16:38:02:120   leftController:(-0.14, 1.21, 0.45)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.76, 0.19)
2021.4.4 16:38:02:129   leftController:(-0.14, 1.21, 0.45)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.76, 0.19)
2021.4.4 16:38:02:139   leftController:(-0.14, 1.21, 0.45)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.76, 0.19)
2021.4.4 16:38:02:153   leftController:(-0.14, 1.21, 0.46)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.76, 0.19)
2021.4.4 16:38:02:164   leftController:(-0.14, 1.21, 0.46)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.76, 0.19)
2021.4.4 16:38:02:173   leftController:(-0.14, 1.21, 0.46)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.22, 1.76, 0.19)
2021.4.4 16:38:02:182   leftController:(-0.14, 1.21, 0.46)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.21, 1.76, 0.19)
2021.4.4 16:38:02:191   leftController:(-0.14, 1.21, 0.46)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.21, 1.76, 0.19)
2021.4.4 16:38:02:201   leftController:(-0.14, 1.21, 0.46)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.21, 1.76, 0.19)
2021.4.4 16:38:02:213   leftController:(-0.14, 1.21, 0.46)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.21, 1.76, 0.19)
2021.4.4 16:38:02:224   leftController:(-0.14, 1.21, 0.46)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.21, 1.76, 0.19)
2021.4.4 16:38:02:239   leftController:(-0.14, 1.21, 0.46)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.21, 1.76, 0.19)
2021.4.4 16:38:02:251   leftController:(-0.14, 1.21, 0.46)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.21, 1.76, 0.19)
2021.4.4 16:38:02:260   leftController:(-0.14, 1.21, 0.46)  rightController:(-0.32, 1.15, 0.46)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.21, 1.76, 0.19)
