2021.4.4 16:44:02:576   leftController:(-0.19, 1.27, 0.26)  rightController:(-0.37, 1.18, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.75, -0.01)
2021.4.4 16:44:02:730   leftController:(-0.19, 1.26, 0.26)  rightController:(-0.38, 1.18, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.75, -0.02)
2021.4.4 16:44:02:743   leftController:(-0.19, 1.26, 0.26)  rightController:(-0.38, 1.18, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.75, -0.02)
2021.4.4 16:44:02:766   leftController:(-0.19, 1.26, 0.26)  rightController:(-0.37, 1.18, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.75, -0.02)
2021.4.4 16:44:02:780   leftController:(-0.19, 1.26, 0.26)  rightController:(-0.37, 1.18, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.75, -0.02)
2021.4.4 16:44:02:792   leftController:(-0.19, 1.26, 0.26)  rightController:(-0.37, 1.18, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.75, -0.02)
2021.4.4 16:44:02:802   leftController:(-0.19, 1.26, 0.26)  rightController:(-0.37, 1.18, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.75, -0.02)
2021.4.4 16:44:02:811   leftController:(-0.19, 1.26, 0.26)  rightController:(-0.37, 1.18, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.75, -0.02)
2021.4.4 16:44:02:820   leftController:(-0.19, 1.26, 0.26)  rightController:(-0.37, 1.18, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.75, -0.02)
2021.4.4 16:44:02:829   leftController:(-0.19, 1.26, 0.26)  rightController:(-0.37, 1.18, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.75, -0.02)
2021.4.4 16:44:02:838   leftController:(-0.19, 1.26, 0.26)  rightController:(-0.37, 1.18, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.35, 1.74, -0.02)
2021.4.4 16:44:02:848   leftController:(-0.19, 1.26, 0.26)  rightController:(-0.37, 1.18, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.36, 1.74, -0.02)
2021.4.4 16:44:02:866   leftController:(-0.19, 1.26, 0.26)  rightController:(-0.37, 1.18, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.36, 1.74, -0.02)
2021.4.4 16:44:02:887   leftController:(-0.19, 1.26, 0.26)  rightController:(-0.37, 1.18, 0.29)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.36, 1.74, -0.02)
