2021.4.4 16:53:13:706   leftController:(0.03, 1.14, 0.17)  rightController:(-0.14, 1.11, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.03)
2021.4.4 16:53:13:889   leftController:(0.03, 1.14, 0.17)  rightController:(-0.13, 1.11, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.02)
2021.4.4 16:53:13:908   leftController:(0.03, 1.14, 0.17)  rightController:(-0.13, 1.11, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.02)
2021.4.4 16:53:13:935   leftController:(0.03, 1.14, 0.17)  rightController:(-0.13, 1.11, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.02)
2021.4.4 16:53:13:955   leftController:(0.03, 1.14, 0.17)  rightController:(-0.13, 1.11, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.02)
2021.4.4 16:53:13:964   leftController:(0.03, 1.14, 0.17)  rightController:(-0.13, 1.11, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.02)
2021.4.4 16:53:13:973   leftController:(0.03, 1.14, 0.17)  rightController:(-0.13, 1.11, 0.21)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.02)
2021.4.4 16:53:13:983   leftController:(0.03, 1.14, 0.17)  rightController:(-0.13, 1.11, 0.21)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.02)
2021.4.4 16:53:13:992   leftController:(0.03, 1.13, 0.17)  rightController:(-0.13, 1.11, 0.21)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.02)
2021.4.4 16:53:14:01   leftController:(0.03, 1.13, 0.17)  rightController:(-0.13, 1.11, 0.21)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.02)
2021.4.4 16:53:14:20   leftController:(0.03, 1.13, 0.17)  rightController:(-0.13, 1.11, 0.21)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.57, -0.02)
