2021.4.4 22:15:45:449   leftController:(0.06, 1.16, 0.16)  rightController:(0.28, 1.23, 0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:45:465   leftController:(0.06, 1.16, 0.16)  rightController:(0.28, 1.23, 0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:45:475   leftController:(0.06, 1.16, 0.16)  rightController:(0.28, 1.23, 0.25)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:45:484   leftController:(0.06, 1.16, 0.16)  rightController:(0.28, 1.23, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:45:508   leftController:(0.06, 1.16, 0.16)  rightController:(0.28, 1.23, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:45:691   leftController:(0.05, 1.16, 0.16)  rightController:(0.27, 1.23, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:45:711   leftController:(0.05, 1.16, 0.16)  rightController:(0.28, 1.23, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:45:749   leftController:(0.05, 1.16, 0.16)  rightController:(0.28, 1.23, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:45:761   leftController:(0.05, 1.16, 0.16)  rightController:(0.28, 1.23, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:45:769   leftController:(0.05, 1.16, 0.16)  rightController:(0.28, 1.23, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:45:778   leftController:(0.05, 1.16, 0.16)  rightController:(0.28, 1.23, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
2021.4.4 22:15:45:787   leftController:(0.05, 1.16, 0.16)  rightController:(0.28, 1.23, 0.24)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.13, 1.53, -0.13)
