2021.4.4 15:20:20:757   leftController:(-0.39, 0.71, 0.33)  rightController:(-0.06, 1.03, 0.51)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.18, 1.58, 0.26)
2021.4.4 15:20:20:927   leftController:(-0.39, 0.71, 0.33)  rightController:(-0.07, 1.03, 0.51)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.18, 1.58, 0.26)
2021.4.4 15:20:20:939   leftController:(-0.39, 0.71, 0.33)  rightController:(-0.07, 1.03, 0.51)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:20:952   leftController:(-0.39, 0.71, 0.33)  rightController:(-0.07, 1.03, 0.50)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:20:964   leftController:(-0.39, 0.71, 0.33)  rightController:(-0.07, 1.03, 0.50)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.26)
2021.4.4 15:20:20:973   leftController:(-0.39, 0.71, 0.33)  rightController:(-0.07, 1.03, 0.50)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.27)
2021.4.4 15:20:20:982   leftController:(-0.39, 0.71, 0.33)  rightController:(-0.07, 1.03, 0.50)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.58, 0.27)
2021.4.4 15:20:20:991   leftController:(-0.39, 0.71, 0.32)  rightController:(-0.07, 1.03, 0.50)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:01   leftController:(-0.39, 0.71, 0.32)  rightController:(-0.07, 1.03, 0.50)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:16   leftController:(-0.39, 0.71, 0.32)  rightController:(-0.07, 1.03, 0.50)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:25   leftController:(-0.39, 0.71, 0.32)  rightController:(-0.07, 1.03, 0.50)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:33   leftController:(-0.40, 0.71, 0.32)  rightController:(-0.07, 1.03, 0.50)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:54   leftController:(-0.40, 0.71, 0.32)  rightController:(-0.07, 1.03, 0.50)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:77   leftController:(-0.40, 0.71, 0.32)  rightController:(-0.07, 1.03, 0.50)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:101   leftController:(-0.40, 0.71, 0.32)  rightController:(-0.07, 1.03, 0.50)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:122   leftController:(-0.40, 0.71, 0.32)  rightController:(-0.07, 1.03, 0.50)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:144   leftController:(-0.40, 0.71, 0.32)  rightController:(-0.07, 1.02, 0.50)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:167   leftController:(-0.40, 0.71, 0.32)  rightController:(-0.07, 1.02, 0.50)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:191   leftController:(-0.40, 0.71, 0.32)  rightController:(-0.07, 1.02, 0.49)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:217   leftController:(-0.39, 0.71, 0.33)  rightController:(-0.07, 1.02, 0.49)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:234   leftController:(-0.39, 0.71, 0.33)  rightController:(-0.07, 1.02, 0.49)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:256   leftController:(-0.39, 0.71, 0.33)  rightController:(-0.07, 1.02, 0.49)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:280   leftController:(-0.39, 0.71, 0.33)  rightController:(-0.07, 1.01, 0.49)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:301   leftController:(-0.39, 0.71, 0.33)  rightController:(-0.07, 1.01, 0.49)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:323   leftController:(-0.39, 0.71, 0.33)  rightController:(-0.07, 1.00, 0.49)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:345   leftController:(-0.39, 0.72, 0.33)  rightController:(-0.07, 0.99, 0.49)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:368   leftController:(-0.39, 0.72, 0.33)  rightController:(-0.07, 0.98, 0.49)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:391   leftController:(-0.39, 0.72, 0.33)  rightController:(-0.08, 0.96, 0.48)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:413   leftController:(-0.39, 0.72, 0.33)  rightController:(-0.08, 0.94, 0.48)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:435   leftController:(-0.39, 0.72, 0.33)  rightController:(-0.07, 0.92, 0.48)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.27)
2021.4.4 15:20:21:459   leftController:(-0.39, 0.72, 0.33)  rightController:(-0.07, 0.90, 0.47)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:479   leftController:(-0.39, 0.72, 0.34)  rightController:(-0.07, 0.88, 0.47)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:501   leftController:(-0.39, 0.72, 0.34)  rightController:(-0.07, 0.86, 0.46)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:524   leftController:(-0.39, 0.72, 0.34)  rightController:(-0.07, 0.84, 0.45)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:535   leftController:(-0.39, 0.72, 0.34)  rightController:(-0.06, 0.83, 0.45)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:546   leftController:(-0.39, 0.73, 0.34)  rightController:(-0.06, 0.82, 0.44)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:559   leftController:(-0.39, 0.73, 0.34)  rightController:(-0.06, 0.81, 0.43)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:570   leftController:(-0.39, 0.73, 0.34)  rightController:(-0.06, 0.80, 0.43)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:581   leftController:(-0.39, 0.73, 0.34)  rightController:(-0.06, 0.80, 0.42)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:594   leftController:(-0.39, 0.73, 0.34)  rightController:(-0.05, 0.79, 0.42)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:603   leftController:(-0.39, 0.73, 0.34)  rightController:(-0.05, 0.79, 0.41)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:613   leftController:(-0.39, 0.73, 0.34)  rightController:(-0.05, 0.78, 0.41)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:625   leftController:(-0.40, 0.73, 0.34)  rightController:(-0.05, 0.78, 0.41)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:636   leftController:(-0.40, 0.73, 0.35)  rightController:(-0.05, 0.77, 0.40)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:649   leftController:(-0.40, 0.73, 0.35)  rightController:(-0.05, 0.77, 0.40)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:658   leftController:(-0.40, 0.73, 0.35)  rightController:(-0.05, 0.77, 0.39)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:669   leftController:(-0.40, 0.74, 0.35)  rightController:(-0.04, 0.77, 0.39)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:681   leftController:(-0.40, 0.74, 0.35)  rightController:(-0.04, 0.77, 0.39)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
2021.4.4 15:20:21:693   leftController:(-0.40, 0.74, 0.35)  rightController:(-0.04, 0.77, 0.39)  leftTracker:(-0.33, 0.16, 0.20)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.19, 1.59, 0.26)
