2021.4.4 15:23:43:679   leftController:(-0.18, 1.02, 0.35)  rightController:(0.04, 1.11, 0.39)  leftTracker:(-0.22, 0.20, 0.08)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.58, 0.12)
2021.4.4 15:23:43:840   leftController:(-0.18, 1.02, 0.35)  rightController:(0.03, 1.11, 0.39)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.58, 0.12)
2021.4.4 15:23:43:862   leftController:(-0.18, 1.02, 0.35)  rightController:(0.03, 1.11, 0.39)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.58, 0.12)
2021.4.4 15:23:43:881   leftController:(-0.18, 1.02, 0.35)  rightController:(0.03, 1.11, 0.39)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.58, 0.12)
2021.4.4 15:23:43:895   leftController:(-0.18, 1.02, 0.35)  rightController:(0.03, 1.11, 0.39)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.58, 0.12)
2021.4.4 15:23:43:904   leftController:(-0.18, 1.02, 0.35)  rightController:(0.04, 1.11, 0.39)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.58, 0.12)
2021.4.4 15:23:43:913   leftController:(-0.18, 1.02, 0.35)  rightController:(0.04, 1.11, 0.39)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.58, 0.12)
2021.4.4 15:23:43:922   leftController:(-0.18, 1.02, 0.35)  rightController:(0.04, 1.11, 0.39)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.58, 0.12)
2021.4.4 15:23:43:931   leftController:(-0.18, 1.02, 0.35)  rightController:(0.04, 1.11, 0.39)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.58, 0.12)
2021.4.4 15:23:43:947   leftController:(-0.18, 1.02, 0.35)  rightController:(0.04, 1.11, 0.39)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.58, 0.12)
2021.4.4 15:23:43:958   leftController:(-0.18, 1.02, 0.35)  rightController:(0.04, 1.11, 0.39)  leftTracker:(-0.22, 0.20, 0.09)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.58, 0.12)
