2021.4.5 14:37:05:420   leftController:(0.23, 1.14, 0.68)  rightController:(-0.15, 0.86, 0.58)  leftTracker:(-0.16, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.36)  headset:(0.09, 1.51, 0.39)
2021.4.5 14:37:05:602   leftController:(0.23, 1.13, 0.68)  rightController:(-0.15, 0.86, 0.59)  leftTracker:(-0.16, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.36)  headset:(0.09, 1.51, 0.40)
2021.4.5 14:37:05:618   leftController:(0.23, 1.13, 0.68)  rightController:(-0.15, 0.86, 0.59)  leftTracker:(-0.16, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.36)  headset:(0.09, 1.51, 0.40)
2021.4.5 14:37:05:643   leftController:(0.24, 1.13, 0.69)  rightController:(-0.15, 0.86, 0.59)  leftTracker:(-0.16, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.36)  headset:(0.09, 1.51, 0.40)
2021.4.5 14:37:05:659   leftController:(0.24, 1.13, 0.69)  rightController:(-0.15, 0.86, 0.59)  leftTracker:(-0.16, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.36)  headset:(0.09, 1.51, 0.40)
2021.4.5 14:37:05:670   leftController:(0.24, 1.13, 0.69)  rightController:(-0.15, 0.86, 0.59)  leftTracker:(-0.16, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.36)  headset:(0.09, 1.51, 0.40)
2021.4.5 14:37:05:680   leftController:(0.24, 1.13, 0.69)  rightController:(-0.15, 0.86, 0.59)  leftTracker:(-0.16, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.36)  headset:(0.09, 1.51, 0.40)
2021.4.5 14:37:05:694   leftController:(0.24, 1.13, 0.69)  rightController:(-0.15, 0.86, 0.59)  leftTracker:(-0.16, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.36)  headset:(0.09, 1.51, 0.40)
2021.4.5 14:37:05:704   leftController:(0.24, 1.13, 0.69)  rightController:(-0.15, 0.86, 0.60)  leftTracker:(-0.16, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.36)  headset:(0.09, 1.51, 0.40)
2021.4.5 14:37:05:715   leftController:(0.24, 1.13, 0.69)  rightController:(-0.15, 0.86, 0.60)  leftTracker:(-0.16, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.36)  headset:(0.09, 1.51, 0.40)
2021.4.5 14:37:05:724   leftController:(0.24, 1.13, 0.69)  rightController:(-0.15, 0.86, 0.60)  leftTracker:(-0.16, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.36)  headset:(0.09, 1.51, 0.40)
2021.4.5 14:37:05:734   leftController:(0.24, 1.13, 0.69)  rightController:(-0.15, 0.85, 0.60)  leftTracker:(-0.16, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.36)  headset:(0.09, 1.51, 0.40)
2021.4.5 14:37:05:751   leftController:(0.24, 1.13, 0.69)  rightController:(-0.15, 0.85, 0.60)  leftTracker:(-0.16, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.36)  headset:(0.09, 1.51, 0.41)
2021.4.5 14:37:05:774   leftController:(0.24, 1.13, 0.69)  rightController:(-0.14, 0.85, 0.60)  leftTracker:(-0.16, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.36)  headset:(0.09, 1.51, 0.41)
2021.4.5 14:37:05:803   leftController:(0.24, 1.13, 0.69)  rightController:(-0.14, 0.85, 0.60)  leftTracker:(-0.16, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.36)  headset:(0.09, 1.51, 0.41)
2021.4.5 14:37:05:818   leftController:(0.24, 1.13, 0.69)  rightController:(-0.14, 0.85, 0.60)  leftTracker:(-0.16, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.36)  headset:(0.09, 1.51, 0.41)
2021.4.5 14:37:05:841   leftController:(0.24, 1.13, 0.70)  rightController:(-0.14, 0.85, 0.60)  leftTracker:(-0.16, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.36)  headset:(0.09, 1.51, 0.41)
2021.4.5 14:37:05:865   leftController:(0.24, 1.12, 0.70)  rightController:(-0.14, 0.85, 0.60)  leftTracker:(-0.15, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.36)  headset:(0.09, 1.51, 0.41)
2021.4.5 14:37:05:885   leftController:(0.24, 1.12, 0.70)  rightController:(-0.14, 0.85, 0.60)  leftTracker:(-0.15, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.41)
2021.4.5 14:37:05:907   leftController:(0.24, 1.11, 0.70)  rightController:(-0.14, 0.85, 0.60)  leftTracker:(-0.15, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.42)
2021.4.5 14:37:05:930   leftController:(0.24, 1.10, 0.71)  rightController:(-0.14, 0.85, 0.61)  leftTracker:(-0.15, 0.17, 0.29)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.42)
2021.4.5 14:37:05:961   leftController:(0.24, 1.08, 0.71)  rightController:(-0.14, 0.85, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.42)
2021.4.5 14:37:05:976   leftController:(0.24, 1.07, 0.71)  rightController:(-0.14, 0.85, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.42)
2021.4.5 14:37:05:997   leftController:(0.24, 1.06, 0.71)  rightController:(-0.14, 0.85, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.42)
2021.4.5 14:37:06:19   leftController:(0.24, 1.04, 0.71)  rightController:(-0.14, 0.85, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.43)
2021.4.5 14:37:06:43   leftController:(0.24, 1.02, 0.71)  rightController:(-0.14, 0.85, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.43)
2021.4.5 14:37:06:66   leftController:(0.25, 1.01, 0.71)  rightController:(-0.14, 0.84, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.43)
2021.4.5 14:37:06:86   leftController:(0.25, 1.00, 0.71)  rightController:(-0.14, 0.84, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.43)
2021.4.5 14:37:06:114   leftController:(0.25, 0.99, 0.71)  rightController:(-0.14, 0.84, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.43)
2021.4.5 14:37:06:132   leftController:(0.25, 0.98, 0.71)  rightController:(-0.14, 0.84, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.44)
2021.4.5 14:37:06:155   leftController:(0.25, 0.98, 0.71)  rightController:(-0.14, 0.84, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.44)
2021.4.5 14:37:06:176   leftController:(0.25, 0.97, 0.71)  rightController:(-0.14, 0.84, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.44)
2021.4.5 14:37:06:198   leftController:(0.25, 0.97, 0.71)  rightController:(-0.14, 0.84, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.44)
2021.4.5 14:37:06:221   leftController:(0.25, 0.97, 0.71)  rightController:(-0.14, 0.84, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.45)
2021.4.5 14:37:06:234   leftController:(0.25, 0.96, 0.71)  rightController:(-0.14, 0.84, 0.61)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.45)
2021.4.5 14:37:06:251   leftController:(0.25, 0.96, 0.71)  rightController:(-0.14, 0.84, 0.62)  leftTracker:(-0.15, 0.17, 0.30)  rightTracker:(0.09, 0.17, 0.37)  headset:(0.09, 1.51, 0.45)
