2021.4.5 14:45:41:139   leftController:(0.07, 1.13, 0.30)  rightController:(-0.16, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.15, 0.20, 0.05)  headset:(-0.02, 1.54, 0.07)
2021.4.5 14:45:41:303   leftController:(0.06, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.15, 0.20, 0.05)  headset:(-0.03, 1.54, 0.07)
2021.4.5 14:45:41:317   leftController:(0.06, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.15, 0.20, 0.05)  headset:(-0.03, 1.54, 0.07)
2021.4.5 14:45:41:343   leftController:(0.06, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.15, 0.20, 0.05)  headset:(-0.03, 1.54, 0.07)
2021.4.5 14:45:41:358   leftController:(0.06, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.15, 0.20, 0.05)  headset:(-0.03, 1.54, 0.07)
2021.4.5 14:45:41:371   leftController:(0.06, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.15, 0.20, 0.05)  headset:(-0.03, 1.54, 0.07)
2021.4.5 14:45:41:384   leftController:(0.06, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.15, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:397   leftController:(0.05, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.15, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:406   leftController:(0.05, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.15, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:415   leftController:(0.05, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.15, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:425   leftController:(0.05, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.15, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:436   leftController:(0.05, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.15, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:460   leftController:(0.05, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.15, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:486   leftController:(0.05, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.15, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:508   leftController:(0.05, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.15, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:526   leftController:(0.05, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:551   leftController:(0.05, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:572   leftController:(0.05, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:593   leftController:(0.05, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:615   leftController:(0.05, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:640   leftController:(0.05, 1.14, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:666   leftController:(0.05, 1.14, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:683   leftController:(0.05, 1.14, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:705   leftController:(0.05, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:729   leftController:(0.05, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:749   leftController:(0.05, 1.13, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:775   leftController:(0.04, 1.12, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:794   leftController:(0.04, 1.12, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:827   leftController:(0.05, 1.11, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.04, 1.54, 0.07)
2021.4.5 14:45:41:843   leftController:(0.05, 1.10, 0.31)  rightController:(-0.18, 1.07, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.54, 0.07)
2021.4.5 14:45:41:865   leftController:(0.05, 1.10, 0.31)  rightController:(-0.18, 1.08, 0.33)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.54, 0.07)
2021.4.5 14:45:41:883   leftController:(0.05, 1.09, 0.31)  rightController:(-0.18, 1.08, 0.33)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.54, 0.07)
2021.4.5 14:45:41:906   leftController:(0.05, 1.09, 0.31)  rightController:(-0.18, 1.08, 0.33)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.54, 0.07)
2021.4.5 14:45:41:928   leftController:(0.05, 1.09, 0.31)  rightController:(-0.18, 1.09, 0.33)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.54, 0.07)
2021.4.5 14:45:41:940   leftController:(0.05, 1.09, 0.31)  rightController:(-0.18, 1.09, 0.33)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.54, 0.07)
2021.4.5 14:45:41:952   leftController:(0.05, 1.09, 0.31)  rightController:(-0.18, 1.09, 0.33)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.54, 0.07)
2021.4.5 14:45:41:971   leftController:(0.05, 1.09, 0.31)  rightController:(-0.18, 1.10, 0.33)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.54, 0.07)
2021.4.5 14:45:41:980   leftController:(0.05, 1.09, 0.31)  rightController:(-0.18, 1.10, 0.33)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.54, 0.07)
2021.4.5 14:45:41:990   leftController:(0.05, 1.09, 0.31)  rightController:(-0.18, 1.10, 0.33)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.54, 0.07)
2021.4.5 14:45:42:02   leftController:(0.05, 1.09, 0.31)  rightController:(-0.18, 1.11, 0.33)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.54, 0.07)
2021.4.5 14:45:42:14   leftController:(0.05, 1.10, 0.31)  rightController:(-0.18, 1.11, 0.33)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.54, 0.07)
2021.4.5 14:45:42:23   leftController:(0.05, 1.10, 0.31)  rightController:(-0.18, 1.12, 0.33)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.54, 0.07)
2021.4.5 14:45:42:32   leftController:(0.05, 1.10, 0.31)  rightController:(-0.18, 1.12, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:43   leftController:(0.05, 1.10, 0.31)  rightController:(-0.19, 1.13, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:53   leftController:(0.06, 1.11, 0.31)  rightController:(-0.19, 1.13, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:66   leftController:(0.06, 1.11, 0.31)  rightController:(-0.19, 1.14, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:76   leftController:(0.06, 1.12, 0.31)  rightController:(-0.19, 1.14, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:85   leftController:(0.06, 1.13, 0.31)  rightController:(-0.19, 1.15, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:97   leftController:(0.07, 1.13, 0.31)  rightController:(-0.20, 1.15, 0.32)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
2021.4.5 14:45:42:110   leftController:(0.07, 1.14, 0.31)  rightController:(-0.20, 1.16, 0.31)  leftTracker:(-0.11, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.05, 1.53, 0.07)
